"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Fri Jun 25 04:00:00 UTC 2021"
"End Date","Mon Jul 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Seguridad"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1406
"La Libertad, Peru",78
"Arequipa, Peru",30
"Lambayeque, Peru",25
"Piura, Peru",12
"Ancash, Peru",9
"Ica, Peru",8
"Cusco, Peru",7
"Tacna, Peru",6
"Moquegua, Peru",5
"Cajamarca, Peru",3
"Ayacucho, Peru",2
"Lima, Peru",2
"Callao, Peru",1
"Huánuco, Peru",1
"Junín, Peru",1
"Loreto, Peru",1
