"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Wed Aug 25 04:00:00 UTC 2021"
"End Date","Sun Sep 26 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Trabajo"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",517
"La Libertad, Peru",31
"Arequipa, Peru",10
"Cusco, Peru",5
"Tacna, Peru",5
"Ica, Peru",4
"Lambayeque, Peru",4
"Huánuco, Peru",3
"Lima, Peru",3
"Piura, Peru",3
"San Martín, Peru",2
"Ancash, Peru",1
"Cajamarca, Peru",1
"Junín, Peru",1
"Loreto, Peru",1
