"Chart Data Export",
"Dimension 1","all"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sat Jan 01 03:00:00 UTC 2022"
"End Date","Sun Oct 02 03:00:00 UTC 2022"
"Project Id","1998309817"
"Any Category","Xenofobia"
"Query Id","[2001085571]"

"all","all"
"Lima Province, Peru",8970
"La Libertad, Peru",280
"Arequipa, Peru",207
"Lambayeque, Peru",94
"Cusco, Peru",92
"Piura, Peru",74
"Cajamarca, Peru",44
"Ica, Peru",38
"Ancash, Peru",36
"Lima, Peru",35
"Tacna, Peru",33
"Loreto, Peru",28
"Junín, Peru",25
"Moquegua, Peru",21
"San Martín, Peru",16
"Huánuco, Peru",12
"Ayacucho, Peru",11
"Ucayali, Peru",11
"Callao, Peru",10
"Tumbes, Peru",8
"Amazonas, Peru",3
"Huancavelica, Peru",2
"Madre de Dios, Peru",1
