Region,Total,area,Xenofobia,_merge,tasa_xenofobia
Amazonas,13,1,3,Matched (3),.23076923
Ancash,402,2,36,Matched (3),.089552239
Arequipa,1552,4,207,Matched (3),.13337629
Ayacucho,48,5,11,Matched (3),.22916667
Cajamarca,307,6,44,Matched (3),.14332248
Callao,68,7,10,Matched (3),.14705883
Cusco,564,8,92,Matched (3),.16312057
Huancavelica,4,9,2,Matched (3),.5
Huánuco,151,10,12,Matched (3),.079470202
Ica,680,11,38,Matched (3),.055882353
Junín,187,12,25,Matched (3),.13368984
La Libertad,4452,13,280,Matched (3),.062893085
Lambayeque,724,14,94,Matched (3),.12983425
Lima Province,73494,15,8970,Matched (3),.12205078
Loreto,336,16,28,Matched (3),.083333336
Madre de Dios,35,17,1,Matched (3),.028571429
Moquegua,118,18,21,Matched (3),.1779661
Pasco,1,19,0,Master only (1),0
Piura,915,20,74,Matched (3),.080874316
San Martín,138,22,16,Matched (3),.11594203
Tacna,355,23,33,Matched (3),.09295775
Tumbes,83,24,8,Matched (3),.096385539
Ucayali,78,25,11,Matched (3),.14102565
Apurímac,9,3,0,Master only (1),0
