"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Jul 25 05:00:00 UTC 2021"
"End Date","Thu Aug 26 05:00:00 UTC 2021"
"Project Id","1998317449"
"Query Id","[2000697378]"

"queries","General "
"Guayas, Ecuador",3405
"Pichincha, Ecuador",3373
"Azuay, Ecuador",415
"Manabi, Ecuador",300
"El Oro, Ecuador",199
"Loja, Ecuador",175
"Santa Elena, Ecuador",171
"Napo, Ecuador",113
"Los Rios, Ecuador",95
"Esmeraldas, Ecuador",53
"Chimborazo, Ecuador",39
"Santo Domingo de los Tsáchilas, Ecuador",34
"Imbabura, Ecuador",32
"Morona Santiago, Ecuador",24
"Cotopaxi, Ecuador",17
"Carchi, Ecuador",15
"Cañar, Ecuador",8
"Galápagos, Ecuador",8
"Tungurahua, Ecuador",6
"Pastaza, Ecuador",5
"Bolivar, Ecuador",4
"Orellana, Ecuador",3
"Zamora Chinchipe, Ecuador",3
