"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Fri Jun 25 05:00:00 UTC 2021"
"End Date","Mon Jul 26 05:00:00 UTC 2021"
"Project Id","1998317449"
"Category","Xenofobia "
"Query Id","[2000697378]"

"queries","General "
"Pichincha, Ecuador",429
"Guayas, Ecuador",297
"Azuay, Ecuador",44
"Manabi, Ecuador",44
"El Oro, Ecuador",20
"Loja, Ecuador",17
"Napo, Ecuador",17
"Santa Elena, Ecuador",15
"Cotopaxi, Ecuador",6
"Imbabura, Ecuador",6
"Chimborazo, Ecuador",5
"Los Rios, Ecuador",5
"Santo Domingo de los Tsáchilas, Ecuador",5
"Esmeraldas, Ecuador",4
"Galápagos, Ecuador",2
"Carchi, Ecuador",1
"Pastaza, Ecuador",1
