"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Thu Mar 25 03:00:00 UTC 2021"
"End Date","Sat Apr 24 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Xenofobia"
"Query Id","[2000528952]"

"queries","[Q] Barómetro migrante Perú"
"Lima Province, Peru",3508
"La Libertad, Peru",134
"Arequipa, Peru",108
"Piura, Peru",44
"Cusco, Peru",37
"Lambayeque, Peru",34
"Ica, Peru",21
"Tacna, Peru",18
"Ancash, Peru",16
"Loreto, Peru",16
"Cajamarca, Peru",12
"Callao, Peru",10
"Huánuco, Peru",8
"Junín, Peru",8
"Ucayali, Peru",8
"Lima, Peru",6
"San Martín, Peru",4
"Tumbes, Peru",4
"Moquegua, Peru",2
"Madre de Dios, Peru",1
