"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Fri Jun 25 04:00:00 UTC 2021"
"End Date","Mon Jul 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Xenofobia"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1484
"La Libertad, Peru",51
"Arequipa, Peru",34
"Piura, Peru",16
"Cusco, Peru",15
"Lambayeque, Peru",13
"Huánuco, Peru",12
"Ica, Peru",9
"Tacna, Peru",9
"Ancash, Peru",8
"Lima, Peru",6
"San Martín, Peru",5
"Junín, Peru",4
"Ayacucho, Peru",2
"Cajamarca, Peru",2
"Madre de Dios, Peru",2
"Tumbes, Peru",2
"Ucayali, Peru",2
"Amazonas, Peru",1
"Callao, Peru",1
"Loreto, Peru",1
"Moquegua, Peru",1
"Pasco, Peru",1
