"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Tue May 25 04:00:00 UTC 2021"
"End Date","Sat Jun 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Xenofobia"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",2803
"La Libertad, Peru",94
"Arequipa, Peru",62
"Lambayeque, Peru",32
"Cusco, Peru",31
"Piura, Peru",29
"Ica, Peru",16
"Tacna, Peru",15
"Cajamarca, Peru",13
"Ancash, Peru",12
"Huánuco, Peru",12
"Junín, Peru",9
"Lima, Peru",9
"Loreto, Peru",9
"Callao, Peru",6
"Moquegua, Peru",5
"Tumbes, Peru",5
"Ucayali, Peru",5
"Ayacucho, Peru",1
"Huancavelica, Peru",1
"Madre de Dios, Peru",1
"San Martín, Peru",1
