"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Apr 25 04:00:00 UTC 2021"
"End Date","Wed May 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",24731
"La Libertad, Peru",1599
"Arequipa, Peru",647
"Piura, Peru",387
"Lambayeque, Peru",242
"Cajamarca, Peru",213
"Cusco, Peru",189
"Ica, Peru",160
"Loreto, Peru",120
"Ancash, Peru",119
"Huánuco, Peru",93
"Tacna, Peru",84
"Callao, Peru",72
"Lima, Peru",66
"Junín, Peru",64
"Tumbes, Peru",60
"Ucayali, Peru",45
"San Martín, Peru",36
"Ayacucho, Peru",35
"Madre de Dios, Peru",25
"Moquegua, Peru",24
"Amazonas, Peru",8
"Pasco, Peru",1
