"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Wed Aug 25 04:00:00 UTC 2021"
"End Date","Sun Sep 26 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Salud"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",581
"La Libertad, Peru",34
"Arequipa, Peru",12
"Piura, Peru",12
"Lambayeque, Peru",5
"Cajamarca, Peru",4
"Ica, Peru",3
"Huánuco, Peru",2
"Junín, Peru",2
"Tacna, Peru",2
"Callao, Peru",1
"Cusco, Peru",1
"Lima, Peru",1
"Loreto, Peru",1
"Moquegua, Peru",1
"Pasco, Peru",1
