Region,Total,area,Xenofobia,_merge,tasa_xenofobia
Amazonas,13,1,3,Matched (3),.23076923
Ancash,402,2,42,Matched (3),.10447761
Apurímac,9,3,0,Master only (1),0
Arequipa,1552,4,138,Matched (3),.088917524
Ayacucho,48,5,6,Matched (3),.125
Cajamarca,307,6,49,Matched (3),.15960912
Callao,68,7,6,Matched (3),.088235296
Cusco,564,8,59,Matched (3),.10460993
Huancavelica,4,9,0,Master only (1),0
Huánuco,151,10,12,Matched (3),.079470202
Ica,680,11,52,Matched (3),.076470591
Junín,187,12,25,Matched (3),.13368984
La Libertad,4452,13,753,Matched (3),.16913746
Lambayeque,724,14,74,Matched (3),.10220995
Lima Province,73494,15,6780,Matched (3),.092252426
Loreto,336,16,27,Matched (3),.080357142
Madre de Dios,35,17,6,Matched (3),.17142858
Moquegua,118,18,10,Matched (3),.084745765
Pasco,1,19,0,Master only (1),0
Piura,915,20,62,Matched (3),.067759566
San Martín,138,22,10,Matched (3),.072463766
Tacna,355,23,21,Matched (3),.059154928
Tumbes,83,24,8,Matched (3),.096385539
Ucayali,78,25,4,Matched (3),.051282052
Apurímac,,,1,Using only (2),
