Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.43291938434902055,-7.212594942189753
75% Corpus,2,0.01,0.31,0.4400248687892627,-5.335255520520505
75% Corpus,2,0.01,0.61,0.39879664935354986,-5.215903892897342
75% Corpus,2,0.01,0.9099999999999999,0.37043865460096026,-5.176860620750387
75% Corpus,2,0.01,symmetric,0.41330196101321875,-5.24340531219751
75% Corpus,2,0.31,0.01,0.42946277788507037,-7.247924020377601
75% Corpus,2,0.31,0.31,0.3747767003144038,-5.438413870952478
75% Corpus,2,0.31,0.61,0.4201069015211131,-5.311892069512751
75% Corpus,2,0.31,0.9099999999999999,0.4336495088303595,-5.240860231584165
75% Corpus,2,0.31,symmetric,0.4201069015211131,-5.342972452502425
75% Corpus,2,0.61,0.01,0.3894817576248207,-7.297442223240689
75% Corpus,2,0.61,0.31,0.420421111244473,-5.480738572231153
75% Corpus,2,0.61,0.61,0.43612058402267173,-5.348436686687354
75% Corpus,2,0.61,0.9099999999999999,0.46327072176366063,-5.30035223212184
75% Corpus,2,0.61,symmetric,0.3804363292587779,-5.380012986863532
75% Corpus,2,0.9099999999999999,0.01,0.402416139657237,-7.332909207155065
75% Corpus,2,0.9099999999999999,0.31,0.3843100124979856,-5.49186217712193
75% Corpus,2,0.9099999999999999,0.61,0.4250678234386338,-5.361376201234212
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.42432708671217256,-5.312694406364022
75% Corpus,2,0.9099999999999999,symmetric,0.3748220109556031,-5.392762392032437
75% Corpus,2,symmetric,0.01,0.42549194873408536,-7.280854575154258
75% Corpus,2,symmetric,0.31,0.427138317320897,-5.467066989075847
75% Corpus,2,symmetric,0.61,0.37058717114749806,-5.335856496560864
75% Corpus,2,symmetric,0.9099999999999999,0.4501369610221857,-5.289028216062523
75% Corpus,2,symmetric,symmetric,0.3533453935431118,-5.366973381943819
75% Corpus,2,asymmetric,0.01,0.45936183235269734,-7.3352858951179
75% Corpus,2,asymmetric,0.31,0.4380042006310478,-5.488892910865749
