"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Fri Jun 25 05:00:00 UTC 2021"
"End Date","Mon Jul 26 05:00:00 UTC 2021"
"Project Id","1998317449"
"Query Id","[2000697378]"

"queries","General "
"Pichincha, Ecuador",2353
"Guayas, Ecuador",1761
"Azuay, Ecuador",328
"Manabi, Ecuador",191
"Santa Elena, Ecuador",135
"El Oro, Ecuador",122
"Loja, Ecuador",95
"Napo, Ecuador",75
"Los Rios, Ecuador",59
"Esmeraldas, Ecuador",37
"Santo Domingo de los Tsáchilas, Ecuador",31
"Imbabura, Ecuador",30
"Chimborazo, Ecuador",22
"Carchi, Ecuador",10
"Galápagos, Ecuador",10
"Cotopaxi, Ecuador",7
"Morona Santiago, Ecuador",7
"Cañar, Ecuador",6
"Pastaza, Ecuador",6
"Zamora Chinchipe, Ecuador",5
"Tungurahua, Ecuador",3
"Orellana, Ecuador",2
