Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad
Lima Province,15,13355,11.111943,.98090601,3.7588918,5.0168476,10.527892
La Libertad,13,632,8.0696201,3.3227849,4.9050632,6.0126581,12.341772
Arequipa,4,329,10.334347,,3.0395136,4.2553191,9.1185408
Lambayeque,14,182,7.1428571,,.54945058,2.1978023,13.736263
Piura,20,181,8.8397789,.55248618,2.7624309,3.8674033,6.6298342
Cajamarca,6,124,1.6129032,,.80645162,,2.4193549
Cusco,8,98,15.306123,,1.0204082,8.1632652,7.1428571
Ica,11,83,10.843373,6.0240965,2.4096386,6.0240965,9.6385546
Loreto,16,68,1.4705882,,1.4705882,,1.4705882
Tacna,23,58,15.517241,1.7241379,8.6206894,6.8965516,10.344828
Ancash,2,47,17.021276,,2.1276596,6.3829789,19.148935
Huánuco,10,37,32.432434,,8.1081085,2.7027028,2.7027028
San Martín,22,28,17.857143,3.5714285,,,
Junín,12,27,14.814815,,,,3.7037036
Moquegua,18,21,4.7619047,,4.7619047,4.7619047,23.809525
Callao,7,20,5,,,,5
Ucayali,25,17,11.764706,,,5.8823528,
Ayacucho,5,10,20,,,10,20
Tumbes,24,9,22.222221,,,,
Madre de Dios,17,6,33.333332,,,16.666666,
Amazonas,1,4,25,,,,
Pasco,19,1,100,,,,
Apurímac,,1,,,,,
