"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Thu Mar 25 03:00:00 UTC 2021"
"End Date","Sat Apr 24 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Trabajo"
"Query Id","[2000528952]"

"queries","[Q] Barómetro migrante Perú"
"Lima Province, Peru",965
"La Libertad, Peru",102
"Arequipa, Peru",22
"Piura, Peru",12
"Ancash, Peru",11
"Lambayeque, Peru",11
"Ica, Peru",8
"Cusco, Peru",5
"Loreto, Peru",5
"San Martín, Peru",4
"Tacna, Peru",4
"Lima, Peru",2
"Madre de Dios, Peru",2
"Moquegua, Peru",2
"Ayacucho, Peru",1
"Cajamarca, Peru",1
"Callao, Peru",1
"Huánuco, Peru",1
"Junín, Peru",1
"Tumbes, Peru",1
"Ucayali, Peru",1
