"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Tue May 25 04:00:00 UTC 2021"
"End Date","Sat Jun 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Seguridad"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",4856
"La Libertad, Peru",178
"Arequipa, Peru",135
"Piura, Peru",79
"Lambayeque, Peru",77
"Cusco, Peru",64
"Ica, Peru",35
"Cajamarca, Peru",28
"Ancash, Peru",26
"Tacna, Peru",25
"Lima, Peru",23
"Ayacucho, Peru",19
"Loreto, Peru",17
"Callao, Peru",13
"Huánuco, Peru",12
"Junín, Peru",12
"Ucayali, Peru",11
"San Martín, Peru",10
"Moquegua, Peru",8
"Tumbes, Peru",7
"Huancavelica, Peru",2
"Madre de Dios, Peru",2
