"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Jul 25 04:00:00 UTC 2021"
"End Date","Thu Aug 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Xenofobia"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1531
"La Libertad, Peru",45
"Arequipa, Peru",38
"Cusco, Peru",22
"Lambayeque, Peru",20
"Piura, Peru",14
"Cajamarca, Peru",7
"Lima, Peru",7
"Ancash, Peru",6
"Moquegua, Peru",6
"Tacna, Peru",5
"Loreto, Peru",4
"Callao, Peru",3
"Huánuco, Peru",3
"Ica, Peru",3
"Tumbes, Peru",3
"San Martín, Peru",2
"Ayacucho, Peru",1
"Junín, Peru",1
