name,twitter handle,id,followers,bio,influence score
Jorge Hurtado,JorgeaHurtado,280769979,21511,"Periodista, productor audiovisual.🎙️Edward R. Murrow Press Fellowship//Centroamérica Adelante Fellowship//@DLatitudes Generación 3
@France24_es",46
Naidelyn,naidelynisabelm,285710070,4869,,43
Lucydalia Baca C.,bacalucydalia,913750657,2877,Periodista. Desde @4to_Mono trato de explicar por qué ocurren las cosas. Ex-reportera de @hoynoticias y @laprensa. Siempre buscando nuevos retos y aprendizajes,43
cнαναℓα мєѕтιzα ,chavalamestiza,1039743307331633157,8366,📍Nic | +505 🇳🇮 ᴀᴍᴏ ᴇʟ ᴄᴏʟᴏʀ ᴍᴏʀᴀᴅᴏ 😈,39
IVÁN PEÑA 🇳🇮,IvannPena,117241634,34109,"Ingeniero Comercial, 39 años. Comunicador de corazón. Enamorado de la radio, el cine y la televisión.
👬🏳️‍🌈",38
El colo de la suerte,elcolodlsuerte,1028704328385740800,6579,"Licenciado en ciencias ocultas y en geografía planetaria. Estudié todo en Cuba, aún no me han enviado los titulos. #FA",38
#LibertadParaLosPresosPolíticos,Grace_Canales,392503483,3721,#SOSNicaragua #NiUnMuertoMás #NiPerdónNiOlvido #LibertadParaLosPresosPolíticos,37
Sarah Kimchi ♡,sarah_kimchi_,298794815,5461,🇳🇮 | Manager @CrNicaragua | CM Esports MD 📩 | Sponsor: @ClashLoco @OsvaldoGamerM10 | Hago streams en Facebook y Twitch n.n,36
Unamos,unamosnica,1694187900,6151,"Trabajamos por una Nicaragua con oportunidades, progreso, solidaridad, democracia, justicia y soberanía 🇳🇮✊",36
Alejandra Pérez,aleperezhh,1468135244,5290,Una loca que twittea lo que a la cabeza se le venga 😛.,36
Axel,IngSevillaLuna,244756556,2415,"Coordinador de edificios y proyectos en la cadena de refrescos @cocacola @femsa, brindándo a nuestros cliente más opcione de consumo ligada a Nuestro portafolio",35
blaugrana × designio,chinto456,3093683573,1139,"primeroYantesQnada MiAmor×MiSEÑOR
👑JESÚS👑.
mi familia y el buen fútbol😎",35
Aylen 💚,aylen_rodcas5,804349890453192704,1662,Nicaragua 📍 19,35
BeisbolGPO,beisbolgpo,4862774882,3001,Twitter Oficial de la Comisión Nicaragúense de Béisbol Superior (CNBS) y el Campeonato German Pomares Ordoñez,35
El Moro 🍺🧠🍻,elmoropotente,934887151,4877,Fundador de Compañía Cervecera del Moropotente | Microbiólogo | Conferencista | Instagram: Jose Marcel ElMoropotente,35
Literato 🇳🇮,literatotienda,176669440,5101,Tienda de libros. Delivery 📲 7530 7527. Sucursal Metrocentro: (505) 2271 9419.,34
Mandy,mandyRM13,609162791,921,La lógica te llevará de A a B. La imaginación te llevará a todas partes//amante del fútbol & madridista obsesionada #HalaMadridYNadaMas ⚽🏆💖,34
Luis Ponce,chamand2002,135297727,483,"Nicaragua siempre bella, única y original. #NoPudieronNiPodran.",34
El Manny🇳🇮,Manu_Delgadillo,400292552,316,Made in Nicaragua🇳🇮,34
Elí Rodríguez,ELIRamMsTEiiN,134984057,40775,Je suis le petit grand homme.,34
Darwin Estrada,DarwinTuits,483082430,2751,Busca las Estrellas...,33
Oscar Tapia,oscarviva13,1581482618,7729,"Presentador del noticiero Lo Que Se Vive canal 13 Nicaragua, me apasiona la noticia como los deportes. Leer y retroalimentarme, amigo y muy dado a innovar.",33
Lord of Maníacos (CUARENTENA),Ireul_Renfield,257910304,461,"Como el sombrerero loco sin sombrero. Como un lobo sin luna. Como una navidad sin frío o un esquimal sin nieve. Soy, como la necesidad del desierto por el agua.",32
Jorge,Jubl_10,913174135,1111,"I don’t play the odds, I play the man",31
Henry,HenryOrtiz_,355097586,1600,“No hay amor más grande que aquel que da la vida por sus amigos”.,31
Canelo Azucena 💞,JossyAngel,211382568,1211,"Sebastián y Lucía 💫🎈
💞",31
Ingeniero,pafufo,5916512,1881,Consultor de Aplicaciones Nuevo Negocio | Bioseguridad y Laboratorio | He publicado en Amazon 2 libros | Salvemos 2 vidas | Buenas Prácticas de Manufactura,30
Octavio Cordero 🇳🇮🇻🇪,omenocalc,753581010651078656,661,"5x AWS Certified  |  Certified Alexa Developer  |  Google Assistant Developer

Rally ID ($BOT):omenocal",30
karelis;),serranokare_,872301133263507456,1919,C.A.M.S💞,30
culikitaca,zabarakatikitak,2875859140,745,NICA🇳🇮UCA veritas liberabit vos💛 Ig: __lyyyyn_,30
Jonathan Solís 🗨,solisjonathanDG,1232891300,2465,Diseñador Gráfico. Dueño de #Sociallife I Love you more / Snap: jonathansolism #CommunityManager #Soltero,29
Outside the realm,Majandrx,538465939,798,"|ON 1 & 2 ⭐ V I V A N I C A R A G U A L I B R E  
sic transit glori mundi",29
🌜𝒂𝒍𝒃𝒂🌛,albamilena_,1065468557763448832,1674,"•𝒗𝒊𝒗𝒊𝒆𝒏𝒅𝒐 𝒆𝒏 𝒍𝒂 𝒕𝒊𝒆𝒓𝒓𝒂, 𝒄𝒐𝒏 𝒆𝒍 𝒄𝒐𝒓𝒂𝒛ó𝒏 𝒆𝒏 𝒆𝒍 𝒄𝒊𝒆𝒍𝒐• ★ ☆ ★",29
Oswaldo Jiménez,OswaldoJM23,158022051,581,"Comunicador de profesión. Apasionado del deporte, sobre todo el fútbol. Pinolero y merengue.",28
Literal-Periodismo Ciudadano,literalnica,216917388,1634,"Sitio web independiente en Nicaragua, integrado por periodistas profesionales.",28
Testigo discreto,AnimalN40615118,1041923583419854849,276,☯️🇳🇮He aprendido a graduarme en todo...de aprendiz!,28
𝕁𝕠𝕤é 𝔻𝕒𝕟𝕚𝕖𝕝.,Daniel22flores,164424648,321,"something in the way!
snap. danni22jose",28
𝔣𝔯𝔢𝔰𝔮𝔲𝔦𝔱𝔬 𝔡𝔢 𝔠𝔞𝔠𝔞𝔬 𓅓,_stoney_maloney,1003331702813593600,1535,me llamo helen y me gusta el fresquito de cacao. TKD🥋|| Volley 🏐,28
Mario  José Medrano Dávila,josemariomedran,1223044446,2240,"Periodista, Comunicador Social.",28
𝓔𝓵𝓲𝔃𝓪𝓫𝓮𝓽𝓱.,Blus_soul,752861806390022144,1743,"La vie en rose 🌹✨
escucho historias de amor gratis. ❤",27
•Amy•🇳🇮,Sampson_AmyA,965055690,1541,🇳🇮💙,27
Gustavo,Gusgustavo_soli,1709342809,314,"Ahí vamos, 
Always a newbie",27
Sofia Margarita🇳🇮🇻🇦,sofiaMzeledon11,839250445541466113,3753,Snap👻Zeledon_sofi | Instagram📸sofia_zramirez11 | católica/Camino Neocatecumenal 💕💒 | Futura Abogada ⚖️ | Dios es el centro de mi vida❤️,27
Darth Rumi,Dani_rumi,477581489,131,"No doy followback, pesados",27
Ricardo Leon Aguilar Perez,RicardoLeonAgui,1074702381961617408,831,"Esteli diamante de las segovias el mejor clima, ciudad tres veces heroicas",27
Comandante 3-80 #UnidadNDN,Comandante380_,636367780,273,Comando Jorge Salazar I,27
Mayra Álvarez,amoamarley,836603460,721,,26
Chelita,Mvvlop,941777347102982144,919,Nicaragüenses por gracia de Dios 🥰,26
Vigorón con Chile,vigoron_nica,987033940337840128,71,"Boom💥Perdí la cuenta anterior, asi que aquí estamos, pero no soy JS jajaja tengo buena ortografía y SI estudié! VIVA NICARAGUA LIBRE!",26
pimp flak,Hellasfuck,134918806,1314,Yo no tengo ningún inconveniente en meterme en camisa de once varas.//Vengo con cholos en un pinche impala.,26
🅲🅰🆁🅻🅾🆂 🆁🅾🆀🆄🅴 🇳🇮,carlos_roque1,1490670920,4819,"ᴊᴏᴠᴇɴ ɴɪᴄᴀʀᴀɢÜᴇɴꜱᴇ ʀᴇᴠᴏʟᴜᴄɪᴏɴᴀʀɪᴏ, ᴏʀɢᴜʟʟᴏꜱᴀᴍᴇɴᴛᴇ ꜱᴀɴᴅɪɴɪꜱᴛᴀ ʏ ᴅᴇ ɪᴢQᴜɪᴇʀᴅᴀ. 

#ʀᴇꜱɪꜱᴛᴇɴᴄɪᴀᴜʀʙᴀɴᴀᴅɪɢɪᴛᴀʟ
#ꜰꜱʟɴ",26
Julio Cesar,juliocesartot,73512622,123,"Me gusta leer mucho y analizar, para que no me echen cuentos, ni de un lado, ni del otro, porque hay mucha manipulación en el mundo.",26
Toy joya,Silvercharless,908541894,1036,Un día a la vez.,26
⭐San Peibol⭐,Sanmipablo97,2480309814,669,"Del Madrid⚽.
Futuro ingeniero de la ostia.
🧡",26
Diana 🧚🏻,dianapalomam,480789092,1092,"dramática, salada y para colmo enculada",26
Ate⁷ 🧈𝓑𝓾𝓽𝓽𝓮𝓻,Ate_1996RM,800806004719919105,1206,"“𝑨 𝒅𝒂𝒚 𝒎𝒂𝒚 𝒄𝒐𝒎𝒆 𝒘𝒉𝒆𝒏 𝒘𝒆 𝒍𝒐𝒔𝒆 𝒃𝒖𝒕 𝒊𝒕 𝒊𝒔 𝒏𝒐𝒕 𝒕𝒐𝒅𝒂𝒚. 𝑻𝒐𝒅𝒂𝒚 𝒘𝒆 𝒇𝒊𝒈𝒉𝒕!”
🇳🇮 Ⓐ︎Ⓡ︎Ⓜ︎Ⓨ︎ ~ 🅑︎🅣︎🅢︎",25
Braudy Sánchez,JBraudy,3065292932,160,"Viva la libertad, cooperación y pragmatismo!
Estudiante de Economia Aplicada al Desarrollo, Activista academico en mi patria convulsa 🇳🇮 | @eslibertadnic",25
⭃,beskar_,1004254101444743169,181,🏳️‍🌈🇳🇮🇵🇸🇨🇴,25
ᵒᵐᵃʳ,antorugama,988856794226151424,236,he/him. happiness is a butterfly de barrio.,25
