path;id;parent_id;level;object_id;object_type;object_key;query_status;query_time;query_type;message;created_time;updated_time;error.message
1070932163028885_631698692438650;10;1;1;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:03:36.823512;Facebook:/<page-id>/posts;¡Conéctate y mira el episodio completo del #Cuchicheo!   Estaremos rompiendo barreras y desafiando estereotipos junto a Mábel Lara y Alejandro Gaviria Te invitamos a unirte a esta conversación sobre Política y poder.   ¡Súbele el volumen! 🔊🔊🔊  USAID Colombia #ACDIVOCA_Colombia #JuntanzaÉtnica  La Escuela Digital Cimarrón Producciones;2023-09-07T00:05:59+0000;2023-09-14T14:12:43+0000;
1070932163028885_631698692438650/1070932163028885_631698692438650;14;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Buena conversación, excelente trabajo, felicitaciones;2023-09-07T02:53:31+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;15;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Mil bendiciones para todos;2023-09-07T11:49:39+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;16;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Super;2023-09-07T11:49:44+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;17;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Ah Mabel 🤣🤣🤣🤣🤣;2023-09-12T20:23:05+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;18;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Pantallera;2023-09-14T14:12:43+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;19;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Muy interesante como parte del análisis de la realidad política en nuestro país.;2023-09-14T12:59:22+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;20;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Excelente entrevista.;2023-09-10T02:07:01+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;21;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;;2023-09-11T21:40:35+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;22;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;;2023-09-11T21:40:30+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;23;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Tanta pajaaa de Mabel que viene despertando después de 500 años... cómo tarde... y sólo por moda... oportunista!!;2023-09-13T03:37:29+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;24;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;;2023-09-11T21:40:16+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;25;10;2;1070932163028885_631698692438650;data;data.*;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;Qq;2023-09-12T10:44:25+0000;;
1070932163028885_631698692438650/1070932163028885_631698692438650/1070932163028885_631698692438650;26;10;2;1070932163028885_631698692438650;offcut;;fetched (200);2023-10-26 13:04:44.560975;Facebook:/<post-id>/comments;;;;
