level;parent_id;object_id;facebook_post;object_type;message;created_time;like_count;comment_count
1;1;1070932163028885_647882847486901;https://www.facebook.com/watch/?v=701529984834047;data;¿Te enteraste? La conmemoración de 12 de octubre cambió hace un par de años. ¿sabes cómo se resignificó esta fecha?  ¡Entérate! 👀☝🏿  USAID Colombia #ACDIVOCA_Colombia #JuntanzaÉtnica La Escuela Digital #MayraLuna;7/10/2023;;
2;3;1070932163028885_647882847486901;https://www.facebook.com/watch/?v=701529984834047;data;Dónde andas;2023-10-11T21:27:26+0000;0;0
2;3;1070932163028885_647882847486901;https://www.facebook.com/watch/?v=701529984834047;data;Hermosa;2023-10-22T04:32:14+0000;0;0
2;3;1070932163028885_647882847486901;https://www.facebook.com/watch/?v=701529984834047;data;Excelente;2023-10-23T04:26:40+0000;0;0
1;1;1070932163028885_649574597317726;https://www.facebook.com/watch/?v=826931672253868;data;Dile al que te informando que te esta mal informando, que te informe bien. No olvides dar compartir este mensaje para que más personas se enteren de esta fecha tan importante.  📢🫱🏿‍🫲🏽 Desde los colores de nuestras tradiciones hasta las melodías de nuestras raíces, cada cultura es una joya única. 💎✨¡Hagamos que la diversidad étnica y cultural sea motivo de conmemoración y aprendizaje!   USAID Colombia #ACDIVOCA_Colombia #JuntanzaÉtnica   #cuchicheo #DíaDeLaDiversidad #CulturasDelMundo #HerenciaCultural #Patrimoniocultural  #Culturasqueinspiran  #afrolove #afrohair #afrobeat;9/10/2023;;
2;2;1070932163028885_649574597317726;https://www.facebook.com/watch/?v=826931672253868;data;Jejej!!;2023-10-09T23:32:59+0000;0;0
2;2;1070932163028885_649574597317726;https://www.facebook.com/watch/?v=826931672253868;data;Amo este trend y al fin veo un contenido pedagógico;2023-10-09T23:37:17+0000;0;0
2;2;1070932163028885_649574597317726;https://www.facebook.com/watch/?v=826931672253868;data;Niñas, más que el Chuchicheo, parece el Cosquilleo jiji;2023-10-10T00:14:45+0000;0;0
1;1;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;¡Mi vestimenta peculiar que más que exótica es ancestral!🎶🎤  ¿Ya escuchaste la canción  🎶 de La Pola, una rapera chocoana que le canta a la diversidad étnica  y cultural ? 🙌🏿 Pola Palacios Ramírez    USAID Colombia  #ACDIVOCA_Colombia #JuntanzaÉtnica  #afrocolombianos #indígenas #DiversidadÉtnicayCultural;20/10/2023;;
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy original,esa es la actitud ,mil bendiciones en tu vida, un abrazo desde Bogotá Colombia,para toda tu familia,;2023-10-21T00:01:06+0000;1;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Horrible;2023-10-21T00:58:37+0000;0;1
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Lindíssima 😍😍😍;2023-10-21T03:41:18+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;;2023-10-21T05:29:50+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que siga así adelante;2023-10-22T12:20:53+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Pola Palacios Ramírez;2023-10-22T21:52:31+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que hermosa ❤️🍫🥰💝😻💞💘🌹;2023-10-23T00:08:09+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;;2023-10-23T21:26:58+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-10-24T13:20:14+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-10-24T15:58:46+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-10-24T23:21:43+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Serio BB;2023-10-25T02:17:27+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Uy;2023-10-26T20:08:44+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy interesante.. Sería bueno adoptar estilos musicales más acordes a el contexto por que el rap. No le encuentro relación con las culturas indigenas;2023-10-28T02:21:50+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Wauuu que preciosas;2023-10-28T23:21:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hola;2023-10-29T00:16:14+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;;2023-11-01T17:16:02+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Siempre que hermosura tu vida 🥳🥳🥳🤚;2023-11-02T23:53:39+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;;2023-11-03T08:48:47+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Linda 🌹;2023-11-03T15:41:47+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Todas las creaciones de Dios son hermosas pero siendo transformadas pordios jueran más hermosas todavias;2023-11-04T17:42:12+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Donde esta la mujere mas bella😘😘😘😘;2023-11-05T12:12:58+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Merire bonore;2023-11-06T19:09:29+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermoso lugar donde vives;2023-11-07T23:51:03+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Bella!;2023-11-08T15:07:59+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Preciosq;2023-11-08T18:00:07+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;🙏😍😍😍😍😍😍🙏🙏🙏🙏🙏;2023-11-08T18:40:47+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Donde se encuentra que hace;2023-11-08T22:08:52+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que preciosa que Dios te bendiga reina;2023-11-09T00:42:34+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Wera biyame mu yabawera.;2023-11-09T14:55:43+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hola linda bbbbbbbbb ❤️;2023-11-09T15:28:32+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hl;2023-11-09T16:24:03+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy linda 🥰;2023-11-09T17:02:32+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-09T20:48:44+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-10T01:01:12+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;chica Panameña 😍🇵🇦;2023-11-10T05:23:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Me caso preciosa;2023-11-10T17:29:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Me gusta mucho bendicion 🙏;2023-11-11T14:15:22+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy hermosas felicidades;2023-11-12T00:17:27+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Mami;2023-11-12T01:30:34+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Lula Rusilowiez;2023-11-12T03:55:49+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que linda 😘;2023-11-12T11:59:03+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Wow que hermosa 😍😘😍😘;2023-11-13T03:48:26+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Y nosotros tenemos este mandamiento de él: El que ama a Dios, ame también a su hermano. 1 Juan 4:21;2023-11-13T12:35:45+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que linda ❤️❤️;2023-11-13T15:20:18+0000;0;0
