Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3405383693555716
75% Corpus,2,0.01,0.31,0.33518873304012886
75% Corpus,2,0.01,0.61,0.3301417091840101
75% Corpus,2,0.01,0.9099999999999999,0.3516485635083243
75% Corpus,2,0.01,symmetric,0.333375564442846
75% Corpus,2,0.31,0.01,0.34329975455703676
75% Corpus,2,0.31,0.31,0.3558208913235523
75% Corpus,2,0.31,0.61,0.368833214703906
75% Corpus,2,0.31,0.9099999999999999,0.3811415463853508
75% Corpus,2,0.31,symmetric,0.3967258138415857
75% Corpus,2,0.61,0.01,0.335010930389081
75% Corpus,2,0.61,0.31,0.37844434812821603
75% Corpus,2,0.61,0.61,0.4010185106982649
75% Corpus,2,0.61,0.9099999999999999,0.4112825708920719
75% Corpus,2,0.61,symmetric,0.4010185106982649
75% Corpus,2,0.9099999999999999,0.01,0.31428361868514104
75% Corpus,2,0.9099999999999999,0.31,0.37740971220180847
75% Corpus,2,0.9099999999999999,0.61,0.41849315121149594
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3965826938445648
75% Corpus,2,0.9099999999999999,symmetric,0.3926431649505985
75% Corpus,2,symmetric,0.01,0.32141712226860103
75% Corpus,2,symmetric,0.31,0.37844434812821603
75% Corpus,2,symmetric,0.61,0.3821287508654164
75% Corpus,2,symmetric,0.9099999999999999,0.39118008414358163
75% Corpus,2,symmetric,symmetric,0.38048183199588664
75% Corpus,2,asymmetric,0.01,0.3744520549250596
75% Corpus,2,asymmetric,0.31,0.38192114373572117
75% Corpus,2,asymmetric,0.61,0.3568688404463222
75% Corpus,2,asymmetric,0.9099999999999999,0.2538574306574508
75% Corpus,2,asymmetric,symmetric,0.3878535120725737
75% Corpus,3,0.01,0.01,0.40765013545493295
75% Corpus,3,0.01,0.31,0.4101845677996217
75% Corpus,3,0.01,0.61,0.4303803238871557
75% Corpus,3,0.01,0.9099999999999999,0.41415562250911075
75% Corpus,3,0.01,symmetric,0.4106667167245553
75% Corpus,3,0.31,0.01,0.4323777368994775
75% Corpus,3,0.31,0.31,0.4370102286290913
75% Corpus,3,0.31,0.61,0.4544749414626237
75% Corpus,3,0.31,0.9099999999999999,0.43352743861143456
75% Corpus,3,0.31,symmetric,0.43527198908859793
75% Corpus,3,0.61,0.01,0.46481197384170875
75% Corpus,3,0.61,0.31,0.46357008927208415
75% Corpus,3,0.61,0.61,0.46205754116073017
75% Corpus,3,0.61,0.9099999999999999,0.4320920079476234
75% Corpus,3,0.61,symmetric,0.4466071708621577
75% Corpus,3,0.9099999999999999,0.01,0.4540946486953053
75% Corpus,3,0.9099999999999999,0.31,0.446042837006114
75% Corpus,3,0.9099999999999999,0.61,0.46298267220919814
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4639202372988918
75% Corpus,3,0.9099999999999999,symmetric,0.4485413269057548
75% Corpus,3,symmetric,0.01,0.4403485678924591
75% Corpus,3,symmetric,0.31,0.4379598922462182
75% Corpus,3,symmetric,0.61,0.45395259405371796
75% Corpus,3,symmetric,0.9099999999999999,0.44206326987876315
75% Corpus,3,symmetric,symmetric,0.44076448883006397
75% Corpus,3,asymmetric,0.01,0.3916278746478625
75% Corpus,3,asymmetric,0.31,0.3761518812732782
75% Corpus,3,asymmetric,0.61,0.5039478549868767
75% Corpus,3,asymmetric,0.9099999999999999,0.4809093154243567
75% Corpus,3,asymmetric,symmetric,0.4003797504446447
75% Corpus,4,0.01,0.01,0.35033230291869566
75% Corpus,4,0.01,0.31,0.3163002751978903
75% Corpus,4,0.01,0.61,0.3342142690933263
75% Corpus,4,0.01,0.9099999999999999,0.30343420161079954
