Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2547710124206395
75% Corpus,2,0.01,0.31,0.2418641844453958
75% Corpus,2,0.01,0.61,0.2777762195145933
75% Corpus,2,0.01,0.9099999999999999,0.28509890208914357
75% Corpus,2,0.01,symmetric,0.2369592959790458
75% Corpus,2,0.31,0.01,0.27999336015089304
75% Corpus,2,0.31,0.31,0.24445030570256474
75% Corpus,2,0.31,0.61,0.2516411209724087
75% Corpus,2,0.31,0.9099999999999999,0.254137843247372
75% Corpus,2,0.31,symmetric,0.24273812466471786
75% Corpus,2,0.61,0.01,0.29252607515947116
75% Corpus,2,0.61,0.31,0.22386770910797388
75% Corpus,2,0.61,0.61,0.22839632211662514
75% Corpus,2,0.61,0.9099999999999999,0.22397119262793075
75% Corpus,2,0.61,symmetric,0.22386770910797388
75% Corpus,2,0.9099999999999999,0.01,0.2918125729129146
75% Corpus,2,0.9099999999999999,0.31,0.23268168840496972
75% Corpus,2,0.9099999999999999,0.61,0.24592416963601937
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.24799740990223923
75% Corpus,2,0.9099999999999999,symmetric,0.24231750209659908
75% Corpus,2,symmetric,0.01,0.30288515232585067
75% Corpus,2,symmetric,0.31,0.24084031719953675
75% Corpus,2,symmetric,0.61,0.24084031719953675
75% Corpus,2,symmetric,0.9099999999999999,0.24817620812081678
75% Corpus,2,symmetric,symmetric,0.24084031719953675
75% Corpus,2,asymmetric,0.01,0.290791036745807
75% Corpus,2,asymmetric,0.31,0.25588598422554565
75% Corpus,2,asymmetric,0.61,0.3001881013607118
75% Corpus,2,asymmetric,0.9099999999999999,0.2933910903492981
75% Corpus,2,asymmetric,symmetric,0.2782200249100674
75% Corpus,3,0.01,0.01,0.28114344312377637
75% Corpus,3,0.01,0.31,0.2989567181497878
75% Corpus,3,0.01,0.61,0.2674560436678743
75% Corpus,3,0.01,0.9099999999999999,0.27639544312660597
75% Corpus,3,0.01,symmetric,0.2658265780425974
75% Corpus,3,0.31,0.01,0.2922275090339447
75% Corpus,3,0.31,0.31,0.2823973209432147
