Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.21470519318745795
75% Corpus,2,0.01,0.31,0.23362173201547132
75% Corpus,2,0.01,0.61,0.23362173201547132
75% Corpus,2,0.01,0.9099999999999999,0.21875560668085814
75% Corpus,2,0.01,symmetric,0.23362173201547132
75% Corpus,2,0.31,0.01,0.2234974166449456
75% Corpus,2,0.31,0.31,0.22568921467352204
75% Corpus,2,0.31,0.61,0.23057668975908163
75% Corpus,2,0.31,0.9099999999999999,0.2375016084215394
75% Corpus,2,0.31,symmetric,0.23057668975908163
75% Corpus,2,0.61,0.01,0.23136437728707815
75% Corpus,2,0.61,0.31,0.230560689808872
75% Corpus,2,0.61,0.61,0.2322114692369574
75% Corpus,2,0.61,0.9099999999999999,0.2216679324994078
75% Corpus,2,0.61,symmetric,0.2322114692369574
75% Corpus,2,0.9099999999999999,0.01,0.230560689808872
75% Corpus,2,0.9099999999999999,0.31,0.230560689808872
75% Corpus,2,0.9099999999999999,0.61,0.23569431316637635
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.22395702716601634
75% Corpus,2,0.9099999999999999,symmetric,0.23404353373829098
75% Corpus,2,symmetric,0.01,0.23136437728707818
75% Corpus,2,symmetric,0.31,0.22349741664494566
75% Corpus,2,symmetric,0.61,0.23333414661845714
75% Corpus,2,symmetric,0.9099999999999999,0.2216679324994078
75% Corpus,2,symmetric,symmetric,0.2322114692369574
75% Corpus,2,asymmetric,0.01,0.23335614452695036
75% Corpus,2,asymmetric,0.31,0.243565222789847
75% Corpus,2,asymmetric,0.61,0.27844028389592035
75% Corpus,2,asymmetric,0.9099999999999999,0.38465892151793096
75% Corpus,2,asymmetric,symmetric,0.28387929105779786
75% Corpus,3,0.01,0.01,0.24758350624243583
75% Corpus,3,0.01,0.31,0.2380883796657479
75% Corpus,3,0.01,0.61,0.2213699443061128
75% Corpus,3,0.01,0.9099999999999999,0.2736326308161581
75% Corpus,3,0.01,symmetric,0.23808837966574792
75% Corpus,3,0.31,0.01,0.2331591890397109
75% Corpus,3,0.31,0.31,0.23181517140622887
75% Corpus,3,0.31,0.61,0.24320365860381635
75% Corpus,3,0.31,0.9099999999999999,0.24320365860381635
75% Corpus,3,0.31,symmetric,0.23181517140622887
75% Corpus,3,0.61,0.01,0.25565991609340194
75% Corpus,3,0.61,0.31,0.24199302752775856
75% Corpus,3,0.61,0.61,0.24638619369692638
75% Corpus,3,0.61,0.9099999999999999,0.24258794296355438
75% Corpus,3,0.61,symmetric,0.24199302752775861
75% Corpus,3,0.9099999999999999,0.01,0.26056976680567673
75% Corpus,3,0.9099999999999999,0.31,0.24337924405622946
75% Corpus,3,0.9099999999999999,0.61,0.24531630877402807
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2450775260830628
75% Corpus,3,0.9099999999999999,symmetric,0.24337924405622946
75% Corpus,3,symmetric,0.01,0.2331591890397109
75% Corpus,3,symmetric,0.31,0.22878858781679035
75% Corpus,3,symmetric,0.61,0.24736479636612008
75% Corpus,3,symmetric,0.9099999999999999,0.2450598446012636
75% Corpus,3,symmetric,symmetric,0.22485895338071207
75% Corpus,3,asymmetric,0.01,0.2251149633794494
75% Corpus,3,asymmetric,0.31,0.2688805799829874
75% Corpus,3,asymmetric,0.61,0.37955328879277683
75% Corpus,3,asymmetric,0.9099999999999999,0.33555298293929803
75% Corpus,3,asymmetric,symmetric,0.2688805799829874
75% Corpus,4,0.01,0.01,0.27049966749248944
75% Corpus,4,0.01,0.31,0.26991356956379875
75% Corpus,4,0.01,0.61,0.2920226074537104
75% Corpus,4,0.01,0.9099999999999999,0.29336076908065933
75% Corpus,4,0.01,symmetric,0.26961616293910123
