Date,Count
"2020-04-01 02:00:00",1
"2020-04-02 02:00:00",0
"2020-04-03 02:00:00",1
"2020-04-04 02:00:00",0
"2020-04-05 01:00:00",0
"2020-04-06 01:00:00",0
"2020-04-07 01:00:00",0
"2020-04-08 01:00:00",1
"2020-04-09 01:00:00",1
"2020-04-10 01:00:00",0
"2020-04-11 01:00:00",0
"2020-04-12 01:00:00",0
"2020-04-13 01:00:00",0
"2020-04-14 01:00:00",0
"2020-04-15 01:00:00",0
"2020-04-16 01:00:00",1
"2020-04-17 01:00:00",9
"2020-04-18 01:00:00",7
"2020-04-19 01:00:00",14
"2020-04-20 01:00:00",17
"2020-04-21 01:00:00",14
"2020-04-22 01:00:00",7
"2020-04-23 01:00:00",20
"2020-04-24 01:00:00",7
"2020-04-25 01:00:00",10
"2020-04-26 01:00:00",6
"2020-04-27 01:00:00",26
"2020-04-28 01:00:00",22
"2020-04-29 01:00:00",8
"2020-04-30 01:00:00",71
"2020-05-01 01:00:00",22
"2020-05-02 01:00:00",15
"2020-05-03 01:00:00",15
"2020-05-04 01:00:00",17
"2020-05-05 01:00:00",18
"2020-05-06 01:00:00",20
"2020-05-07 01:00:00",22
"2020-05-08 01:00:00",19
"2020-05-09 01:00:00",12
"2020-05-10 01:00:00",6
"2020-05-11 01:00:00",7
"2020-05-12 01:00:00",21
"2020-05-13 01:00:00",26
"2020-05-14 01:00:00",11
"2020-05-15 01:00:00",13
"2020-05-16 01:00:00",24
"2020-05-17 01:00:00",15
"2020-05-18 01:00:00",7
"2020-05-19 01:00:00",7
"2020-05-20 01:00:00",13
"2020-05-21 01:00:00",27
"2020-05-22 01:00:00",12
"2020-05-23 01:00:00",14
"2020-05-24 01:00:00",14
"2020-05-25 01:00:00",15
"2020-05-26 01:00:00",18
"2020-05-27 01:00:00",24
"2020-05-28 01:00:00",15
"2020-05-29 01:00:00",11
"2020-05-30 01:00:00",17
"2020-05-31 01:00:00",43
"2020-06-01 01:00:00",20
"2020-06-02 01:00:00",15
"2020-06-03 01:00:00",28
"2020-06-04 01:00:00",22
"2020-06-05 01:00:00",120
"2020-06-06 01:00:00",54
"2020-06-07 01:00:00",20
"2020-06-08 01:00:00",13
"2020-06-09 01:00:00",18
"2020-06-10 01:00:00",17
"2020-06-11 01:00:00",18
"2020-06-12 01:00:00",9
"2020-06-13 01:00:00",9
"2020-06-14 01:00:00",9
"2020-06-15 01:00:00",14
"2020-06-16 01:00:00",23
"2020-06-17 01:00:00",16
"2020-06-18 01:00:00",19
"2020-06-19 01:00:00",14
"2020-06-20 01:00:00",13
"2020-06-21 01:00:00",23
"2020-06-22 01:00:00",21
"2020-06-23 01:00:00",9
"2020-06-24 01:00:00",14
"2020-06-25 01:00:00",11
"2020-06-26 01:00:00",13
"2020-06-27 01:00:00",14
"2020-06-28 01:00:00",12
"2020-06-29 01:00:00",12
"2020-06-30 01:00:00",10
"2020-07-01 01:00:00",23
"2020-07-02 01:00:00",19
"2020-07-03 01:00:00",15
"2020-07-04 01:00:00",16
"2020-07-05 01:00:00",18
"2020-07-06 01:00:00",13
"2020-07-07 01:00:00",22
"2020-07-08 01:00:00",14
"2020-07-09 01:00:00",20
"2020-07-10 01:00:00",16
"2020-07-11 01:00:00",14
"2020-07-12 01:00:00",13
"2020-07-13 01:00:00",13
"2020-07-14 01:00:00",25
"2020-07-15 01:00:00",21
"2020-07-16 01:00:00",18
"2020-07-17 01:00:00",26
"2020-07-18 01:00:00",24
"2020-07-19 01:00:00",19
"2020-07-20 01:00:00",13
"2020-07-21 01:00:00",10
"2020-07-22 01:00:00",9
"2020-07-23 01:00:00",15
"2020-07-24 01:00:00",17
"2020-07-25 01:00:00",17
"2020-07-26 01:00:00",6
"2020-07-27 01:00:00",12
"2020-07-28 01:00:00",22
"2020-07-29 01:00:00",26
"2020-07-30 01:00:00",13
"2020-07-31 01:00:00",14
"2020-08-01 01:00:00",26
"2020-08-02 01:00:00",16
"2020-08-03 01:00:00",9
"2020-08-04 01:00:00",20
"2020-08-05 01:00:00",22
"2020-08-06 01:00:00",23
"2020-08-07 01:00:00",11
"2020-08-08 01:00:00",10
"2020-08-09 01:00:00",13
"2020-08-10 01:00:00",14
"2020-08-11 01:00:00",18
"2020-08-12 01:00:00",12
"2020-08-13 01:00:00",14
"2020-08-14 01:00:00",15
