"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Jul 25 05:00:00 UTC 2021"
"End Date","Thu Aug 26 05:00:00 UTC 2021"
"Project Id","1998317449"
"Category","Xenofobia "
"Query Id","[2000697378]"

"queries","General "
"Pichincha, Ecuador",602
"Guayas, Ecuador",511
"Manabi, Ecuador",42
"Azuay, Ecuador",31
"El Oro, Ecuador",30
"Loja, Ecuador",30
"Napo, Ecuador",23
"Santa Elena, Ecuador",13
"Los Rios, Ecuador",10
"Esmeraldas, Ecuador",6
"Cotopaxi, Ecuador",5
"Santo Domingo de los Tsáchilas, Ecuador",5
"Carchi, Ecuador",3
"Chimborazo, Ecuador",3
"Imbabura, Ecuador",2
"Tungurahua, Ecuador",2
"Bolivar, Ecuador",1
"Galápagos, Ecuador",1
