"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Tue Aug 25 05:00:00 UTC 2020"
"End Date","Sat Sep 26 05:00:00 UTC 2020"
"Project Id","1998268711"
"Category","Educación "
"Query Id","[2000565091]"

"queries","[Q] Barómetro migrante Colombia"
"Bogota, Colombia",596
"Antioquia, Colombia",126
"Atlántico, Colombia",65
"Santander, Colombia",44
"Valle del Cauca, Colombia",42
"Bolívar, Colombia",27
"Norte de Santander, Colombia",25
"Magdalena, Colombia",15
"Cesar, Colombia",14
"Risaralda, Colombia",14
"Meta, Colombia",10
"Boyacá, Colombia",7
"Córdoba, Colombia",7
"Cundinamarca, Colombia",7
"Sucre, Colombia",6
"Casanare, Colombia",5
"Nariño, Colombia",5
"Quindío, Colombia",5
"Tolima, Colombia",4
"La Guajira, Colombia",3
"Caldas, Colombia",2
"Caquetá, Colombia",2
"Cauca, Colombia",2
"Chocó, Colombia",1
"San Andrés y Providencia, Colombia",1
