"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Tue Aug 25 05:00:00 UTC 2020"
"End Date","Sat Sep 26 05:00:00 UTC 2020"
"Project Id","1998268711"
"Category","Integración"
"Query Id","[2000565091]"

"queries","[Q] Barómetro migrante Colombia"
"Bogota, Colombia",984
"Antioquia, Colombia",147
"Valle del Cauca, Colombia",95
"Atlántico, Colombia",54
"Santander, Colombia",43
"Norte de Santander, Colombia",41
"Bolívar, Colombia",25
"Cesar, Colombia",19
"Meta, Colombia",15
"Córdoba, Colombia",14
"Cundinamarca, Colombia",14
"Risaralda, Colombia",14
"Boyacá, Colombia",11
"Tolima, Colombia",11
"La Guajira, Colombia",10
"Caldas, Colombia",8
"Magdalena, Colombia",7
"Cauca, Colombia",5
"Quindío, Colombia",5
"Chocó, Colombia",2
"Nariño, Colombia",2
"Arauca, Colombia",1
"Casanare, Colombia",1
"San Andrés y Providencia, Colombia",1
"Sucre, Colombia",1
