Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Antioquia,5,13.81844,13.057111,11.603729
Atlántico,8,14.930362,6.0022397,4.9368796
Bogota,11,12.165189,58.387459,58.940014
Bolívar,13,5.3012047,.98544234,2.2827911
Boyacá,15,9.166667,.49272117,.66008419
Caldas,17,17.435898,.76147819,.53631836
Cesar,20,11.868132,1.2094065,1.2514095
Córdoba,23,12.802768,.8286674,.79485136
Cundinamarca,25,13.043478,.67189252,.63258064
Huila,41,9.2198582,.2911534,.38779944
La Guajira,44,4.7872338,.20156775,.51706594
Magdalena,47,12.009238,1.1646136,1.1909019
Meta,50,13.095238,.98544234,.9241178
Nariño,52,8.6206894,.22396417,.31904069
Norte de Santander,54,6.8010077,1.8141097,3.2756677
Quindío,63,15.483871,.53751397,.42630434
Risaralda,66,10.677083,.91825306,1.0561347
Santander,68,12.118644,3.2026875,3.2454138
Tolima,73,13.765182,.76147819,.67933661
Valle del Cauca,76,15.331172,7.4132137,5.9380069
Casanare,85,2.7397261,.089585669,.40155119
