Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.38999466425492557,-8.037532174109106
75% Corpus,2,0.01,0.31,0.3761817462294199,-6.698900042140146
75% Corpus,2,0.01,0.61,0.3791886186394101,-6.6479028876217985
75% Corpus,2,0.01,0.9099999999999999,0.37351361628722773,-6.6425872292612835
75% Corpus,2,0.01,symmetric,0.3826482374539769,-6.658833682578044
75% Corpus,2,0.31,0.01,0.412635671853554,-8.061626035056983
75% Corpus,2,0.31,0.31,0.386418075819147,-6.748721969885515
75% Corpus,2,0.31,0.61,0.38555586196324687,-6.689979450481454
75% Corpus,2,0.31,0.9099999999999999,0.38555586196324687,-6.686048072412661
75% Corpus,2,0.31,symmetric,0.3752733200576125,-6.695688975471811
75% Corpus,2,0.61,0.01,0.3957610613670491,-8.093348621041914
75% Corpus,2,0.61,0.31,0.38218101852641917,-6.765593227467586
75% Corpus,2,0.61,0.61,0.37796445671494117,-6.704472792486555
75% Corpus,2,0.61,0.9099999999999999,0.3779644567149411,-6.701414772448262
75% Corpus,2,0.61,symmetric,0.3779644567149411,-6.715929192181715
75% Corpus,2,0.9099999999999999,0.01,0.38265109823728244,-8.13769684493337
75% Corpus,2,0.9099999999999999,0.31,0.3729739050036037,-6.782924157432264
75% Corpus,2,0.9099999999999999,0.61,0.38013255150691994,-6.721529609517953
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3882858174277938,-6.715550390408211
75% Corpus,2,0.9099999999999999,symmetric,0.38013255150691994,-6.732589906792051
75% Corpus,2,symmetric,0.01,0.395761061367049,-8.071742430300478
75% Corpus,2,symmetric,0.31,0.3821810185264192,-6.75860250710017
75% Corpus,2,symmetric,0.61,0.3779595987087535,-6.700160619331983
75% Corpus,2,symmetric,0.9099999999999999,0.37796445671494117,-6.694950571414806
75% Corpus,2,symmetric,symmetric,0.3821810185264192,-6.709256623021292
75% Corpus,2,asymmetric,0.01,0.43154788898420815,-8.06001430771829
75% Corpus,2,asymmetric,0.31,0.40808931004611143,-6.745971372961641
75% Corpus,2,asymmetric,0.61,0.3788353998902399,-6.679497418799309
75% Corpus,2,asymmetric,0.9099999999999999,0.35056004544198793,-6.66146360337839
75% Corpus,2,asymmetric,symmetric,0.39014903484624897,-6.693373838114761
75% Corpus,3,0.01,0.01,0.3710008208719459,-8.049148483589752
75% Corpus,3,0.01,0.31,0.36419887238057624,-6.736292308442218
75% Corpus,3,0.01,0.61,0.357982515404031,-6.703924904418053
75% Corpus,3,0.01,0.9099999999999999,0.3659693167097666,-6.707129583290148
75% Corpus,3,0.01,symmetric,0.36053367955353616,-6.731570379406572
75% Corpus,3,0.31,0.01,0.3804126532045253,-8.115347903813284
75% Corpus,3,0.31,0.31,0.38348270516367644,-6.836301919940821
75% Corpus,3,0.31,0.61,0.3818978845579342,-6.787790103026272
75% Corpus,3,0.31,0.9099999999999999,0.37015164494039815,-6.803762658682886
75% Corpus,3,0.31,symmetric,0.3704273150356048,-6.827434562745783
75% Corpus,3,0.61,0.01,0.3968037527430117,-8.164027580792961
75% Corpus,3,0.61,0.31,0.3822055059288285,-6.865426907219837
75% Corpus,3,0.61,0.61,0.3707913953719568,-6.833201293621686
75% Corpus,3,0.61,0.9099999999999999,0.3790658417345112,-6.839502180216648
75% Corpus,3,0.61,symmetric,0.3888582784684271,-6.859297805369105
75% Corpus,3,0.9099999999999999,0.01,0.3850043842490143,-8.214749837372311
75% Corpus,3,0.9099999999999999,0.31,0.3753362355978598,-6.899746966182776
75% Corpus,3,0.9099999999999999,0.61,0.40484503575454717,-6.861593446709036
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3948344894833465,-6.859929800338249
75% Corpus,3,0.9099999999999999,symmetric,0.381341263915189,-6.893148278985237
75% Corpus,3,symmetric,0.01,0.3772968939284318,-8.12979022167949
75% Corpus,3,symmetric,0.31,0.3836239072618777,-6.838146080373536
75% Corpus,3,symmetric,0.61,0.3818978845579341,-6.7930532880422945
75% Corpus,3,symmetric,0.9099999999999999,0.38418414641716997,-6.806830487331444
75% Corpus,3,symmetric,symmetric,0.3830498098918722,-6.828115305099245
75% Corpus,3,asymmetric,0.01,0.41762365498381593,-8.055730370041395
75% Corpus,3,asymmetric,0.31,0.35779108056210357,-6.799240607142635
75% Corpus,3,asymmetric,0.61,0.3201291646189463,-6.740918063399174
75% Corpus,3,asymmetric,0.9099999999999999,0.3023869503997384,-6.724719834572762
75% Corpus,3,asymmetric,symmetric,0.33641485479516114,-6.796938357143745
75% Corpus,4,0.01,0.01,0.3781693233069455,-8.02184071764094
75% Corpus,4,0.01,0.31,0.37227169244068087,-6.7589421937146135
75% Corpus,4,0.01,0.61,0.37879380641522553,-6.745118549976921
75% Corpus,4,0.01,0.9099999999999999,0.3946828244352678,-6.760039203272192
75% Corpus,4,0.01,symmetric,0.3610198646662964,-6.778300435613214
75% Corpus,4,0.31,0.01,0.36071191170751493,-8.175098330253588
75% Corpus,4,0.31,0.31,0.35106438456687383,-6.9177239087643905
75% Corpus,4,0.31,0.61,0.3467099269876378,-6.9041561230351425
75% Corpus,4,0.31,0.9099999999999999,0.3584374940459475,-6.917592967130065
75% Corpus,4,0.31,symmetric,0.3515808729984664,-6.936911070920348
75% Corpus,4,0.61,0.01,0.3730588167518433,-8.229500035117173
