Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3245504257086257
75% Corpus,2,0.01,0.31,0.34640751930786484
75% Corpus,2,0.01,0.61,0.3631505312436547
75% Corpus,2,0.01,0.9099999999999999,0.3441636629520409
75% Corpus,2,0.01,symmetric,0.3606330565626185
75% Corpus,2,0.31,0.01,0.30942277840001065
75% Corpus,2,0.31,0.31,0.3445976944357534
75% Corpus,2,0.31,0.61,0.3549083295143206
75% Corpus,2,0.31,0.9099999999999999,0.3518772623192599
75% Corpus,2,0.31,symmetric,0.3520111859294841
75% Corpus,2,0.61,0.01,0.3289006604581628
75% Corpus,2,0.61,0.31,0.34287435002221434
75% Corpus,2,0.61,0.61,0.3553695311035479
75% Corpus,2,0.61,0.9099999999999999,0.3618039744895404
75% Corpus,2,0.61,symmetric,0.3477181268780034
75% Corpus,2,0.9099999999999999,0.01,0.3558833760905615
75% Corpus,2,0.9099999999999999,0.31,0.37349985608188074
75% Corpus,2,0.9099999999999999,0.61,0.34146102440062065
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3166810689417603
75% Corpus,2,0.9099999999999999,symmetric,0.3537399086670575
75% Corpus,2,symmetric,0.01,0.33241638923805317
75% Corpus,2,symmetric,0.31,0.3647918129120139
75% Corpus,2,symmetric,0.61,0.3786294702927613
75% Corpus,2,symmetric,0.9099999999999999,0.3212289303264062
75% Corpus,2,symmetric,symmetric,0.34348941509601955
75% Corpus,2,asymmetric,0.01,0.3092218064143858
75% Corpus,2,asymmetric,0.31,0.3371253525590674
75% Corpus,2,asymmetric,0.61,0.2788202178764564
75% Corpus,2,asymmetric,0.9099999999999999,0.32120817926544565
75% Corpus,2,asymmetric,symmetric,0.2963910267991795
75% Corpus,3,0.01,0.01,0.3192861891731427
75% Corpus,3,0.01,0.31,0.36053339585365746
75% Corpus,3,0.01,0.61,0.3375422032195468
75% Corpus,3,0.01,0.9099999999999999,0.27483694447060886
75% Corpus,3,0.01,symmetric,0.3462603550128784
75% Corpus,3,0.31,0.01,0.3305667701395633
75% Corpus,3,0.31,0.31,0.34963795809962983
75% Corpus,3,0.31,0.61,0.34762075561781264
75% Corpus,3,0.31,0.9099999999999999,0.30334140712844765
75% Corpus,3,0.31,symmetric,0.34616199510129647
75% Corpus,3,0.61,0.01,0.3508458587749212
75% Corpus,3,0.61,0.31,0.3682242761809504
75% Corpus,3,0.61,0.61,0.36982368802371174
75% Corpus,3,0.61,0.9099999999999999,0.3623462168816243
75% Corpus,3,0.61,symmetric,0.36420735226305895
75% Corpus,3,0.9099999999999999,0.01,0.35739400793067994
75% Corpus,3,0.9099999999999999,0.31,0.3721755919744911
75% Corpus,3,0.9099999999999999,0.61,0.3656162197020268
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3622380133150995
75% Corpus,3,0.9099999999999999,symmetric,0.35870570554051334
75% Corpus,3,symmetric,0.01,0.3353018603112297
75% Corpus,3,symmetric,0.31,0.3461619951012966
75% Corpus,3,symmetric,0.61,0.3432586632854542
75% Corpus,3,symmetric,0.9099999999999999,0.2772491005255999
75% Corpus,3,symmetric,symmetric,0.3564807248081833
75% Corpus,3,asymmetric,0.01,0.3610198254314358
75% Corpus,3,asymmetric,0.31,0.29046759464932953
75% Corpus,3,asymmetric,0.61,0.2657269939864034
75% Corpus,3,asymmetric,0.9099999999999999,0.2784921226025192
75% Corpus,3,asymmetric,symmetric,0.2964766860254289
75% Corpus,4,0.01,0.01,0.30839192754338113
75% Corpus,4,0.01,0.31,0.2738764262009133
75% Corpus,4,0.01,0.61,0.2801151822652622
75% Corpus,4,0.01,0.9099999999999999,0.2890612107270713
75% Corpus,4,0.01,symmetric,0.3009457868294978
75% Corpus,4,0.31,0.01,0.3357475984012297
75% Corpus,4,0.31,0.31,0.28587548833886767
75% Corpus,4,0.31,0.61,0.29141479138395887
75% Corpus,4,0.31,0.9099999999999999,0.28297754160781785
75% Corpus,4,0.31,symmetric,0.3138008052154232
75% Corpus,4,0.61,0.01,0.3338676935841353
75% Corpus,4,0.61,0.31,0.29389588881854173
75% Corpus,4,0.61,0.61,0.31681730153239107
75% Corpus,4,0.61,0.9099999999999999,0.3274094862326914
75% Corpus,4,0.61,symmetric,0.3155679977238959
75% Corpus,4,0.9099999999999999,0.01,0.35251585068933766
75% Corpus,4,0.9099999999999999,0.31,0.3352755153311011
75% Corpus,4,0.9099999999999999,0.61,0.34926116571613497
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3327331056534266
75% Corpus,4,0.9099999999999999,symmetric,0.3346749669329477
75% Corpus,4,symmetric,0.01,0.34444664422627524
75% Corpus,4,symmetric,0.31,0.2831307288884448
75% Corpus,4,symmetric,0.61,0.3171867641545329
75% Corpus,4,symmetric,0.9099999999999999,0.34407511675123037
75% Corpus,4,symmetric,symmetric,0.30080242073634156
75% Corpus,4,asymmetric,0.01,0.31941849009765755
75% Corpus,4,asymmetric,0.31,0.33389445276832785
75% Corpus,4,asymmetric,0.61,0.31838143293071164
75% Corpus,4,asymmetric,0.9099999999999999,0.28645300405910856
75% Corpus,4,asymmetric,symmetric,0.34653006866571195
75% Corpus,5,0.01,0.01,0.28998761044492954
75% Corpus,5,0.01,0.31,0.3124088000439248
75% Corpus,5,0.01,0.61,0.30917744682636755
75% Corpus,5,0.01,0.9099999999999999,0.2676532647625859
75% Corpus,5,0.01,symmetric,0.3124506370579395
75% Corpus,5,0.31,0.01,0.2987959306171725
75% Corpus,5,0.31,0.31,0.2796448989148942
75% Corpus,5,0.31,0.61,0.2723392522772743
75% Corpus,5,0.31,0.9099999999999999,0.29510340440264093
75% Corpus,5,0.31,symmetric,0.2934102857035771
75% Corpus,5,0.61,0.01,0.36408128988577876
75% Corpus,5,0.61,0.31,0.35746479800063796
75% Corpus,5,0.61,0.61,0.316403496444969
