Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2676281218633235
75% Corpus,2,0.01,0.31,0.27457680892032527
75% Corpus,2,0.01,0.61,0.2739920828398289
75% Corpus,2,0.01,0.9099999999999999,0.24841092995200786
75% Corpus,2,0.01,symmetric,0.2647205173390398
75% Corpus,2,0.31,0.01,0.24844749984672057
75% Corpus,2,0.31,0.31,0.2384759136959691
75% Corpus,2,0.31,0.61,0.24001466261947474
75% Corpus,2,0.31,0.9099999999999999,0.26259855944646376
75% Corpus,2,0.31,symmetric,0.2519154407150511
75% Corpus,2,0.61,0.01,0.25308621310686447
75% Corpus,2,0.61,0.31,0.25067557891375547
75% Corpus,2,0.61,0.61,0.2561680908348639
75% Corpus,2,0.61,0.9099999999999999,0.2446035366406094
75% Corpus,2,0.61,symmetric,0.24153038277740327
75% Corpus,2,0.9099999999999999,0.01,0.2557715555129133
75% Corpus,2,0.9099999999999999,0.31,0.24367787556347384
75% Corpus,2,0.9099999999999999,0.61,0.23976040544808397
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.24249932344773845
75% Corpus,2,0.9099999999999999,symmetric,0.23492285759308004
75% Corpus,2,symmetric,0.01,0.25672350078991746
75% Corpus,2,symmetric,0.31,0.24326040897144835
75% Corpus,2,symmetric,0.61,0.23264948998762675
75% Corpus,2,symmetric,0.9099999999999999,0.23454505886299137
75% Corpus,2,symmetric,symmetric,0.23761971203819177
75% Corpus,2,asymmetric,0.01,0.2961529285278863
75% Corpus,2,asymmetric,0.31,0.2969799141701169
75% Corpus,2,asymmetric,0.61,0.3281324600812724
75% Corpus,2,asymmetric,0.9099999999999999,0.43833359083216794
75% Corpus,2,asymmetric,symmetric,0.30981829782622616
75% Corpus,3,0.01,0.01,0.2517611132903745
75% Corpus,3,0.01,0.31,0.24052272957909135
75% Corpus,3,0.01,0.61,0.24706471038944214
75% Corpus,3,0.01,0.9099999999999999,0.2680381143257939
