Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad
Lima Province,15,24898,14.089485,1.2571291,7.952446,3.8758132,12.567274
La Libertad,13,2063,6.4953952,1.987397,20.746485,4.9442558,11.633543
Arequipa,4,699,15.450644,.85836911,5.2932763,3.1473534,12.875537
Piura,20,322,13.664597,.62111801,3.7267082,3.7267082,9.0062113
Lambayeque,14,228,14.912281,1.7543859,6.1403508,4.8245616,10.526316
Cusco,8,198,18.686869,1.010101,5.0505052,2.5252526,9.5959597
Ica,11,190,11.052631,2.1052632,16.842106,4.2105265,13.157895
Tacna,23,128,14.0625,.78125,7.8125,3.125,18.75
Ancash,2,109,14.678899,1.8348624,6.4220185,10.091743,8.2568808
Cajamarca,6,99,12.121212,2.0202019,19.191919,1.010101,18.181818
Loreto,16,88,18.181818,,1.1363636,5.681818,9.090909
Junín,12,70,11.428572,1.4285715,1.4285715,1.4285715,20
Callao,7,68,14.705882,,4.4117646,1.4705882,13.235294
Huánuco,10,52,15.384615,,,1.9230769,9.6153851
San Martín,22,43,9.3023252,,4.6511626,9.3023252,9.3023252
Tumbes,24,28,14.285714,3.5714285,3.5714285,3.5714285,10.714286
Ucayali,25,25,32,,,4,12
Moquegua,18,24,8.333333,,,8.333333,12.5
Ayacucho,5,13,,7.6923075,15.384615,7.6923075,23.076923
Madre de Dios,17,9,11.111111,,11.111111,22.222221,
Amazonas,1,4,,,,,25
Huancavelica,9,4,,,,,
Pasco,19,1,,,,,
