Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad
Lima Province,15,24731,8.1112776,1.0472686,5.9924788,5.8226519,14.055234
La Libertad,13,1599,3.6898062,2.0637898,5.8161349,6.8792996,11.319574
Arequipa,4,647,6.0278206,.92735702,5.4095826,5.4095826,14.374034
Piura,20,387,4.9095607,.51679587,6.2015505,6.4599485,13.436692
Lambayeque,14,242,8.6776857,.82644629,4.9586778,4.9586778,14.46281
Cajamarca,6,213,3.2863851,,3.7558684,4.2253523,5.164319
Cusco,8,189,6.8783069,.52910054,7.4074073,10.05291,12.169312
Ica,11,160,6.875,.625,6.875,6.875,10.625
Loreto,16,120,6.6666665,,4.1666665,4.1666665,12.5
Ancash,2,119,7.563025,.84033614,8.4033613,6.7226892,19.32773
Huánuco,10,93,2.1505377,,1.0752689,3.2258065,18.27957
Tacna,23,84,10.714286,,7.1428571,4.7619047,17.857143
Callao,7,72,12.5,,5.5555553,9.7222223,12.5
Junín,12,64,6.25,4.6875,,1.5625,14.0625
Tumbes,24,60,3.3333333,,1.6666666,,13.333333
Ucayali,25,45,8.8888893,,4.4444447,4.4444447,13.333333
San Martín,22,36,13.888889,,8.333333,11.111111,8.333333
Ayacucho,5,35,5.7142859,,5.7142859,5.7142859,25.714285
Madre de Dios,17,25,12,4,,4,8
Moquegua,18,24,8.333333,4.1666665,16.666666,29.166666,
Amazonas,1,8,,,12.5,12.5,25
Pasco,19,1,,,,,
