Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad
Lima Province,15,15513,9.8691416,.74131376,5.5115066,4.628376,15.316186
La Libertad,13,779,5.7766366,2.4390244,4.7496791,7.0603337,7.0603337
Arequipa,4,328,11.585366,.30487806,7.3170733,2.4390244,17.987804
Piura,20,256,5.46875,3.515625,6.25,1.5625,11.328125
Lambayeque,14,168,11.904762,.59523809,5.9523811,2.3809524,20.833334
Cusco,8,116,18.965517,,6.034483,1.7241379,22.413794
Ica,11,93,3.2258065,5.3763442,7.5268817,3.2258065,9.6774197
Cajamarca,6,87,8.0459766,2.2988505,4.5977011,5.7471266,6.8965516
Tacna,23,58,8.6206894,,5.1724138,10.344828,22.413794
Loreto,16,53,7.5471697,1.8867924,7.5471697,3.7735848,26.415094
Ancash,2,48,12.5,,6.25,6.25,20.833334
Huánuco,10,35,8.5714283,,5.7142859,,22.857143
Junín,12,31,3.2258065,,6.4516129,3.2258065,22.580645
Moquegua,18,25,24,,8,4,20
Callao,7,24,12.5,,4.1666665,8.333333,20.833334
Tumbes,24,18,16.666666,,5.5555553,5.5555553,22.222221
San Martín,22,15,13.333333,,13.333333,,13.333333
Ucayali,25,13,,,7.6923075,7.6923075,
Ayacucho,5,9,11.111111,,11.111111,,33.333332
Madre de Dios,17,4,,,25,25,50
Pasco,19,2,,,,,
Amazonas,1,1,,,100,,100
