Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad
Lima Province,15,33744,8.3066616,.96313417,5.6721196,5.9210525,14.390706
La Libertad,13,1402,6.7047076,2.2824535,9.3437948,5.8487873,12.696148
Arequipa,4,873,7.1019473,.34364262,4.5819016,6.5292096,15.463918
Piura,20,526,5.513308,.95057034,5.8935361,5.7034221,15.019011
Lambayeque,14,454,7.0484581,.44052863,6.6079297,6.1674008,16.960352
Cusco,8,339,9.1445427,1.7699115,5.8997049,6.1946902,18.879057
Cajamarca,6,280,4.6428571,1.0714285,3.9285715,4.6428571,10
Ica,11,252,6.3492064,1.1904762,7.1428571,6.7460318,13.888889
Tacna,23,192,7.8125,.52083331,5.2083335,6.7708335,13.020833
Ancash,2,172,6.9767442,,7.5581393,5.8139534,15.116279
Junín,12,110,8.181818,,10.909091,4.5454545,10.909091
Loreto,16,107,8.4112148,,4.6728973,2.8037384,15.887851
Callao,7,85,7.0588236,,10.588235,2.3529413,15.294118
Ucayali,25,81,6.1728396,,1.2345679,6.1728396,13.580247
Huánuco,10,76,15.789474,,3.9473684,3.9473684,15.789474
San Martín,22,74,1.3513514,,8.1081085,4.0540543,13.513514
Tumbes,24,54,9.2592592,1.8518518,5.5555553,7.4074073,12.962963
Moquegua,18,53,9.4339619,1.8867924,7.5471697,5.6603775,15.094339
Ayacucho,5,52,1.9230769,,3.8461537,13.461538,36.53846
Madre de Dios,17,6,16.666666,,,16.666666,33.333332
Amazonas,1,6,,,16.666666,16.666666,
Huancavelica,9,2,50,,,,100
Pasco,19,2,,,,,
