"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Thu Mar 25 03:00:00 UTC 2021"
"End Date","Sat Apr 24 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Educación"
"Query Id","[2000528952]"

"queries","[Q] Barómetro migrante Perú"
"Lima Province, Peru",313
"La Libertad, Peru",41
"Arequipa, Peru",6
"Ica, Peru",4
"Lambayeque, Peru",4
"Ancash, Peru",2
"Cajamarca, Peru",2
"Cusco, Peru",2
"Piura, Peru",2
"Ayacucho, Peru",1
"Junín, Peru",1
"Tacna, Peru",1
"Tumbes, Peru",1
