"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Thu Mar 25 03:00:00 UTC 2021"
"End Date","Sat Apr 24 03:00:00 UTC 2021"
"Project Id","1998309817"
"Query Id","[2000528952]"

"queries","[Q] Barómetro migrante Perú"
"Lima Province, Peru",24898
"La Libertad, Peru",2063
"Arequipa, Peru",699
"Piura, Peru",322
"Lambayeque, Peru",228
"Cusco, Peru",198
"Ica, Peru",190
"Tacna, Peru",128
"Ancash, Peru",109
"Cajamarca, Peru",99
"Loreto, Peru",88
"Junín, Peru",70
"Callao, Peru",68
"Lima, Peru",63
"Huánuco, Peru",52
"San Martín, Peru",43
"Tumbes, Peru",28
"Ucayali, Peru",25
"Moquegua, Peru",24
"Ayacucho, Peru",13
"Madre de Dios, Peru",9
"Amazonas, Peru",4
"Huancavelica, Peru",4
"Pasco, Peru",1
