"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Fri Jun 25 04:00:00 UTC 2021"
"End Date","Mon Jul 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Trabajo"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",670
"La Libertad, Peru",38
"Arequipa, Peru",14
"Cusco, Peru",8
"Piura, Peru",7
"Ica, Peru",5
"Lambayeque, Peru",4
"Tacna, Peru",4
"Ancash, Peru",3
"Lima, Peru",3
"Ayacucho, Peru",1
"Huánuco, Peru",1
"Madre de Dios, Peru",1
"Moquegua, Peru",1
"Ucayali, Peru",1
