Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Ancash,2,6.9767442,.384,.44732258
Arequipa,4,7.1019473,1.984,2.270422
Cajamarca,6,4.6428571,.41600001,.72819954
Cusco,8,9.1445427,.99199998,.88164157
Ica,11,6.3492064,.51200002,.65537959
Junín,12,8.181818,.28799999,.28607839
La Libertad,13,6.7047076,3.0079999,3.646199
Lambayeque,14,7.0484581,1.024,1.1807235
Lima Province,15,8.3066616,89.695999,87.758446
Loreto,16,8.4112148,.28799999,.27827623
Piura,20,5.513308,.92799997,1.3679749
Tacna,23,7.8125,.47999999,.49933681
