"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Tue May 25 04:00:00 UTC 2021"
"End Date","Sat Jun 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Trabajo"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1998
"La Libertad, Peru",82
"Arequipa, Peru",57
"Piura, Peru",30
"Lambayeque, Peru",28
"Cusco, Peru",21
"Ica, Peru",17
"Cajamarca, Peru",13
"Tacna, Peru",13
"Ancash, Peru",10
"Lima, Peru",9
"Ayacucho, Peru",7
"Junín, Peru",5
"Ucayali, Peru",5
"Tumbes, Peru",4
"Huánuco, Peru",3
"Loreto, Peru",3
"Moquegua, Peru",3
"San Martín, Peru",3
"Callao, Peru",2
"Amazonas, Peru",1
"Madre de Dios, Peru",1
