"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Apr 25 04:00:00 UTC 2021"
"End Date","Wed May 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Educación"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",259
"La Libertad, Peru",33
"Arequipa, Peru",6
"Junín, Peru",3
"Lambayeque, Peru",2
"Piura, Peru",2
"Ancash, Peru",1
"Cusco, Peru",1
"Ica, Peru",1
"Madre de Dios, Peru",1
"Moquegua, Peru",1
