"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Jul 25 04:00:00 UTC 2021"
"End Date","Thu Aug 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Seguridad"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",2376
"Arequipa, Peru",59
"La Libertad, Peru",55
"Lambayeque, Peru",35
"Piura, Peru",29
"Cusco, Peru",26
"Lima, Peru",15
"Loreto, Peru",14
"Tacna, Peru",13
"Ancash, Peru",10
"Ica, Peru",9
"Huánuco, Peru",8
"Junín, Peru",7
"Cajamarca, Peru",6
"Callao, Peru",5
"Moquegua, Peru",5
"Tumbes, Peru",4
"Ayacucho, Peru",3
"Madre de Dios, Peru",2
"San Martín, Peru",2
"Amazonas, Peru",1
