"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sun Jul 25 04:00:00 UTC 2021"
"End Date","Thu Aug 26 04:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Trabajo"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",718
"La Libertad, Peru",55
"Arequipa, Peru",8
"Lima, Peru",6
"Tacna, Peru",6
"Cajamarca, Peru",5
"Lambayeque, Peru",4
"Piura, Peru",4
"Ancash, Peru",3
"Ica, Peru",3
"Callao, Peru",2
"Cusco, Peru",2
"Loreto, Peru",2
"Junín, Peru",1
"Madre de Dios, Peru",1
"Moquegua, Peru",1
"Tumbes, Peru",1
"Ucayali, Peru",1
