"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Wed Aug 25 04:00:00 UTC 2021"
"End Date","Sun Sep 26 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Seguridad"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1430
"La Libertad, Peru",71
"Arequipa, Peru",42
"Piura, Peru",14
"Tacna, Peru",12
"Cajamarca, Peru",11
"Lambayeque, Peru",11
"Cusco, Peru",10
"Ica, Peru",10
"Lima, Peru",7
"Ancash, Peru",4
"Loreto, Peru",4
"Junín, Peru",2
"Madre de Dios, Peru",2
"San Martín, Peru",2
"Tumbes, Peru",2
"Callao, Peru",1
"Huánuco, Peru",1
"Pasco, Peru",1
