"Chart Data Export",
"Dimension 1","all"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Sat Jan 01 03:00:00 UTC 2022"
"End Date","Sun Oct 02 03:00:00 UTC 2022"
"Project Id","1998309817"
"Query Id","[2001085571]"

"all","all"
"Lima Province, Peru",73494
"La Libertad, Peru",4452
"Arequipa, Peru",1552
"Piura, Peru",915
"Lambayeque, Peru",724
"Ica, Peru",680
"Cusco, Peru",564
"Ancash, Peru",402
"Tacna, Peru",355
"Loreto, Peru",336
"Cajamarca, Peru",307
"Lima, Peru",297
"Junín, Peru",187
"Huánuco, Peru",151
"San Martín, Peru",138
"Moquegua, Peru",118
"Tumbes, Peru",83
"Ucayali, Peru",78
"Callao, Peru",68
"Ayacucho, Peru",48
"Madre de Dios, Peru",35
"Amazonas, Peru",13
"Apurímac, Peru",9
"Huancavelica, Peru",4
"Pasco, Peru",1
