"Chart Data Export",
"Dimension 1","queries"
"Dimension 2","regions"
"Aggregate","volume"
"Start Date","Wed Aug 25 04:00:00 UTC 2021"
"End Date","Sun Sep 26 03:00:00 UTC 2021"
"Project Id","1998309817"
"Category","Xenofobia"
"Query Id","[2000574935]"

"queries","[Q] Barómetro Migrante Perú"
"Lima Province, Peru",1905
"La Libertad, Peru",45
"Arequipa, Peru",43
"Lambayeque, Peru",33
"Cusco, Peru",24
"Piura, Peru",20
"Lima, Peru",11
"Ica, Peru",8
"Ancash, Peru",7
"Tacna, Peru",7
"Cajamarca, Peru",6
"Tumbes, Peru",6
"Loreto, Peru",5
"San Martín, Peru",5
"Huánuco, Peru",4
"Junín, Peru",3
"Callao, Peru",2
"Madre de Dios, Peru",2
"Ayacucho, Peru",1
"Moquegua, Peru",1
"Pasco, Peru",1
