,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Processed
0,0,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",preferencias población probablemente muchos ellos decidan migrar zonas alejadas ciudada zonas suburbanas grandes asequibles crecimiento,"['preferencia', 'poblacion', 'probablemente', 'decidir', 'migrar', 'zona', 'alejado', 'ciudada', 'zona', 'suburbano', 'grande', 'asequible', 'crecimiento']"
1,1,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",gracias desarrolla una economía urbana del sector terciario migraciones invasiones concentración demográfica zonas urbanas,"['gracia', 'desarrollar', 'economia', 'urbana', 'sector', 'terciario', 'migración', 'invasión', 'concentracion', 'demografica', 'zona', 'urbanas']"
2,2,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",ambos años obtendremos total nuevos estudiantes migraron ese año instituciones particulares instituciones públicas,"['ambos', 'ano', 'obtener', 'total', 'nuevo', 'estudiante', 'migrar', 'ano', 'institución', 'particular', 'institución', 'publicas']"
3,3,0.0,0.9975,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",extranjeros residentes país especial,"['extranjeros', 'residente', 'pais', 'especial']"
4,4,0.0,0.9992,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",corresponde casos dengue considerados graves sin embargo proceso migración existente perú poblaciones región amazonía,"['corresponder', 'caso', 'dengue', 'considerado', 'grave', 'embargo', 'proceso', 'migracion', 'existente', 'peru', 'población', 'region', 'amazonia']"
5,5,0.0,0.9986,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",demuestra chiclayo ido por proceso migración una metrópoli más habitantes,"['demostrar', 'chiclayo', 'ido', 'proceso', 'migracion', 'metropoli', 'habitante']"
6,6,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",seguridad colegio profesionales taxistas comerciantes ambulantes ciudadanos extranjeros viven zonas lima metropolitana con cada,"['seguridad', 'colegio', 'profesionales', 'taxista', 'comerciante', 'ambulante', 'ciudadano', 'extranjeros', 'vivir', 'zona', 'lima', 'metropolitana', 'cada']"
7,7,1.0,0.9992,"extranjeros, migracion, ciudadano, zona, ano, incremento, inseguridad, lima, generar, distorsionar",indiferencia poco involucramiento lucha contra delincuencia ciudadanos extranjeros residentes lima integrarlos ciudadanos extranjeros radican lima,"['indiferencia', 'involucramiento', 'lucha', 'delincuencia', 'ciudadano', 'extranjeros', 'residente', 'lima', 'integrarlos', 'ciudadano', 'extranjeros', 'radicar', 'lima']"
8,8,0.0,0.998,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",extranjeros necesitamos involucramiento todos vecinos esa manera,"['extranjeros', 'necesitar', 'involucramiento', 'vecino', 'manera']"
9,9,0.0,0.9988,"extranjeros, migracion, ciudad, procedimiento, persona, necesitar, peru, proceso, llegar, lima",últimos años produjo una migración relevante personas hacia perú lo también,"['ultimos', 'ano', 'producir', 'migracion', 'relevante', 'persona', 'hacia', 'peru']"
