Estado,Count,Count_negativo,% Odio
Aguascalientes,0.027777777777777776,0.026915113871635615,0.5555555555555554
Baja California,0.06944444444444443,0.04554865424430642,0.09523809523809512
Chiapas,0.04050925925925926,0.02484472049689441,0.026315789473684292
Chihuahua,0.003472222222222222,0.002070393374741201,0.0
Coahuila,0.0,0.0,0.0
Colima,0.010416666666666666,0.006211180124223603,0.0
Guanajuato,0.08217592592592592,0.06211180124223603,0.2567567567567568
Guerrero,0.02083333333333333,0.016563146997929608,0.2857142857142856
Hidalgo,0.027777777777777776,0.018633540372670808,0.11111111111111116
Jalisco,0.22106481481481483,0.2070393374741201,0.561855670103093
Mexico City,0.9999999999999999,1.0,0.6747404844290659
Michoacán,0.041666666666666664,0.037267080745341616,0.46153846153846145
Morelos,0.04282407407407407,0.04554865424430642,0.7249999999999999
México,0.33912037037037035,0.31055900621118016,0.5304054054054053
Nayarit,0.003472222222222222,0.006211180124223603,1.0
Nuevo León,0.2662037037037037,0.1987577639751553,0.24892703862660936
Oaxaca,0.018518518518518517,0.012422360248447208,0.10526315789473673
Puebla,0.11689814814814814,0.10766045548654245,0.5288461538461537
Querétaro,0.13657407407407407,0.10559006211180125,0.2892561983471076
Quintana Roo,0.009259259259259259,0.008281573498964804,0.36363636363636354
San Luis Potosí,0.0023148148148148147,0.002070393374741201,0.20000000000000018
Sinaloa,0.030092592592592587,0.02484472049689441,0.3448275862068966
Sonora,0.0775462962962963,0.05797101449275363,0.24285714285714288
Tabasco,0.06481481481481481,0.06004140786749483,0.5254237288135593
Tamaulipas,0.032407407407407406,0.028985507246376815,0.4516129032258065
Tlaxcala,0.003472222222222222,0.002070393374741201,0.0
Veracruz,0.10300925925925926,0.07039337474120083,0.14130434782608692
Yucatán,0.09374999999999999,0.08695652173913045,0.5357142857142856
Zacatecas,0.011574074074074073,0.014492753623188408,0.8461538461538463
