Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/GerA20076499/statuses/1514090599980441604,GerA20076499,4/12/2022 11:58 pm,La cara del complejo de inferioridad con resentimiento... @gibranrr de lástima https://t.co/IFw7TNkLRk,Message,Photo,63,0,"Merida, Yucatán, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/El_Babisuri/statuses/1514089690286153738,El_Babisuri,4/12/2022 11:54 pm,"SALAVERGA! LAS MAROMAS!

Y se vienen cosas piores, dice la biblia. | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,1930,0,"Guadalajara, Jalisco, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/LeonCastrejon/statuses/1514083153249333249,LeonCastrejon,4/12/2022 11:28 pm,"Guacha @danapau2003, es de tu pedigree. | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,439,0,"Ciudad de Villa de Alvarez, Colima, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/alecria66611/statuses/1514076708651118595,alecria66611,4/12/2022 11:03 pm,Víboras prietas en busca de la mínima falla. https://t.co/qt6FKMl3XV,Message,Photo,6878,0,"Miguel Hidalgo, Mexico City, Mexico",Women,,0,0,0,0,
Twitter,https://twitter.com/Farar/statuses/1514073773665775618,Farar,4/12/2022 10:51 pm,"Ahora resulta que el cerdo Mario Delgado no es un delincuente electoral, es un santo.

Maroma condescendiente nivel llorarás. | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,1899,0,"Tesistan, Jalisco, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/darioeldayo/statuses/1514072105909895172,darioeldayo,4/12/2022 10:44 pm,"andresgranadosd Don Andrés no tienen argumentos, muchos resentidos que escriben ni siquiera lo hacen con convicción, son trolls, cuentas alternas de servidores de la nación y lo hacen por defender las migajas que les tiran. Usted siga señalando lo que está mal que a nosotros nadie nos paga.",Mention,Text Only,255,0,"Naucalpan de Juarez, México, Mexico",,,0,0,0,0,Backlash
Instagram,https://www.instagram.com/p/CcRl_4OsbXD/,,4/12/2022 10:43 pm,"Aún sigo con el coraje de q Tom Holland humillara a Eric. No porque sea bonito hay q perdonarle todo 😠
#ericnam #racismo #tomholland #idiota",Message,Photo,0,3,,,,3,0,0,0,
Twitter,https://twitter.com/JoaqunValladar1/statuses/1514071781644111878,JoaqunValladar1,4/12/2022 10:43 pm,"PedroIxcoatl @Diotimais @manuelclouthier el litio
debe ser de la nación y
proteger de las ratas como
tu que tienes fama de
tracalero resentido lastima
por tu padre al cuál recordamos con respeto",Mention,Text Only,194,0,"Patzcuaro, Michoacán, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/Elmasinstruido/statuses/1514070138382917632,Elmasinstruido,4/12/2022 10:37 pm,"HAN DEJADO CADUCAR MILES DE MEDICAMENTOS, SON INCAPACES, INDOLENTES Y CORRUPTOS ! | QT: Y quien le va a creer a este inútil resentido!!!!!",Message,Text Only,1315,0,"Jesus del Monte, México, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/DDulce_V/statuses/1514069207767474182,DDulce_V,4/12/2022 10:33 pm,"🐶🐻 tener que recurrir a estos argumentos para justificar a la #4T | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,1743,0,"Miguel Hidalgo, Mexico City, Mexico",Women,,0,0,0,0,
Instagram,https://www.instagram.com/p/CcRjOv4pql1/,,4/12/2022 10:19 pm,"¡De qué quiere Usted la imagen? Preguntó el imaginero: 

Tenemos santos de pino,
Hay imágenes de yeso,
Mire este Cristo yacente,
Madera de puro cedro,
Depende de quién la encarga,
Una familia o un templo,
O si el único objetivo
Es ponerla en un museo.

Déjeme, pues, que le explique,
Lo que de verdad deseo.

Yo necesito una imagen
De Jesús El Galileo,
Que refleje su fracaso
Intentando un mundo nuevo,
Que conmueva las conciencias
Y cambie los pensamientos,
Yo no la quiero encerrada
En iglesias y conventos.

Ni en casa de una familia
Para presidir sus rezos,
No es para llevarla en andas
Cargada por costaleros,
Yo quiero una imagen viva
De un Jesús Hombre sufriendo,
Que ilumine a quien la mire
El corazón y el cerebro.

Que den ganas de bajarlo
De su cruz y del tormento,
Y quien contemple esa imagen
No quede mirando un muerto,
Ni que con ojos de artista
Sólo contemple un objeto,
Ante el que exclame admirado
¡Qué torturado más bello!

Perdóneme si le digo,
Responde el imaginero,
Que aquí no hallará seguro
La imagen del Nazareno.

Vaya a buscarla en las calles
Entre las gentes sin techo,
En hospicios y hospitales
Donde haya gente muriendo
En los centros de acogida
En que abandonan a viejos,
En el pueblo marginado,
Entre los niños hambrientos,
En mujeres maltratadas,
En personas sin empleo.

Pero la imagen de Cristo
No la busque en los museos,
No la busque en las estatuas,
En los altares y templos.

Ni siga en las procesiones
Los pasos del Nazareno,
No la busque de madera,
De bronce de piedra o yeso,
¡mejor busque entre los pobres
su imagen de carne y hueso!

Gabriela Mistral, Premio Nobel de Literatura 1945

#migrantes #refugiados #desplazados #albergue #tijuana #méxico #estadosunidos #racismo #lasalle #delasalle #somoslasalle #semanasanta #semanasanta2022 #educación #familia #wearelasalle #educate #refugees #education #nonprofits #nonprofit #technology #refugeeswelcome #humanrace #humanrights",Message,Photo,0,81,,,,74,0,7,0,Género
Twitter,https://twitter.com/arandascris/statuses/1514064995151233031,arandascris,4/12/2022 10:16 pm,"El quinto tuit más pendejo que he leído en mi vida. | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,519,0,"Medina, Guanajuato, Mexico",Women,,0,0,0,0,
Twitter,https://twitter.com/GaroRamonet/statuses/1514063383255003139,GaroRamonet,4/12/2022 10:10 pm,"JAJAJA Woooaw!!  Si están súper adoctrinados, no mamar!!!🥲🥲🥲 | QT: Pensaba que el (mal)llamado acarreo de votantes debería de ser ilegal pero hoy estoy convencida de que, al igual que otros términos como ""nini"", tiene detrás muchísimo clasismo pues todo apoyo que dan ciudadanos, partidos, gobiernos para promover la participación debe aplaudirse.",Message,Text Only,2413,0,Mexico,,,0,0,0,0,
Twitter,https://twitter.com/jh0813fyp/statuses/1514061954238799873,jh0813fyp,4/12/2022 10:04 pm,"Obvio que si. A menos que sea acomplejado o machista. Aplica igual para hombres. Somos iguales. No confundir con infidelidades | QT: Pregunta: 
puede una mujer con novio o esposo bailar con otros hombres??
👀",Message,Text Only,22,0,"Santa Rosa Jauregui, Querétaro, Mexico",,,0,0,0,0,Género
