Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/ArturoRiba/statuses/1509724539718193157,ArturoRiba,3/31/2022 10:49 pm,marcouriel13 @berruetagf Deplorable actitud de un algo resentido. Y así exige respeto.,Mention,Text Only,156,1,"Tlalpan, Mexico City, Mexico",,,1,0,0,0,Backlash
Twitter,https://twitter.com/FightMex/statuses/1509713159208288267,FightMex,3/31/2022 10:04 pm,RosannaMarzan @soyciguapa @IgualdadALyC @Racismo_MX @Sony_Tho @ISBeauvoir @EligeRed @balancejoven ¡Hola! Es una actividad gratuita. 😊,Mention,Text Only,1756,1,"Magdalena Contreras, Mexico City, Mexico",,,1,0,0,0,
Twitter,https://twitter.com/jm_fraustro/statuses/1509706512830148616,jm_fraustro,3/31/2022 9:37 pm,"mi reconocimiento al gobernador por tener como prioridad la no discriminación, y trabajar por el derecho a la vida, la supervivencia y desarrollo de nuestros pequeños. https://t.co/xF2D2n2mHE",Mention,Photo,18659,32,Mexico,,,23,0,0,9,
Twitter,https://twitter.com/LaloMadrigay/statuses/1509703619947511808,LaloMadrigay,3/31/2022 9:26 pm,"La comunidad trans tiene derecho a expresar y vivir su fe sin discriminación alguna y sin discursos trans odiantes.
Que Santa Wilfrida interceda por mis hermanxs trans.
#diadelavisibilidadtrans 🏳️‍⚧️#diadelavisibilidadtrans🏳️‍⚧️ https://t.co/LoqGUeCHt7",Message,Photo,374,32,"Xochimilco, Mexico City, Mexico",,,25,0,0,7,Género
Twitter,https://twitter.com/OrtollServando/statuses/1509694288598290435,OrtollServando,3/31/2022 8:49 pm,"Biologictime:

""México es racista y clasista.""",Mention,Text Only,6393,0,"Colima, Colima, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/BennellyHernan2/statuses/1509691057411436550,BennellyHernan2,3/31/2022 8:36 pm,"Mi respaldo a la Dip @SalmaLuevano, quien ha sufrido constante violencia política y de género, por parte del legislador Gabriel Quadri.

Basta de permitir discursos de odio que dañan la libertad de ser, vivir y amar; solo generan discriminación, violencia e incluso, la muerte.",Message,Text Only,633,10,"Colonia Lindavista, México, Mexico",,,9,0,1,0,
Instagram,https://www.instagram.com/p/CbydKL9NQeL/,,3/31/2022 8:29 pm,"Hoy en el #diadelavisibilidadtrans 
Examinémonos y dejemos atrás tanto prejuicio y compartamiento racista heredado y normalizado. 
Seamos el cambio nostros para luego exigir uno.
#colombia🇨🇴 #Trans #Racist #FranciaMarquez #pactohistórico #Racismo #Cartoon #opinión #calicolombia🇨🇴 #PreguntaleABarbarias",Message,Photo,0,222,,,,216,0,6,0,Género
Twitter,https://twitter.com/DanielGarciaXXI/statuses/1509686369299353603,DanielGarciaXXI,3/31/2022 8:17 pm,"Eso pasa cuando votas por personas sin preparación alguna, no es discriminación porque hay personas con muy poca preparación académica, pero con capacidad para escuchar, deseos de aprender y hacer las cosas bien, en morena algunos diputados y senadores dejan mucho que decear. https://t.co/FmEDzNZyjm | QT: .@DiputadosMorena denuncian ante el @INEMexico a Eugenio Derbez, Natalia Lafourcade, Rubén Albarrán y otras celebridades que impulsan la campaña #SélvameDelTren.

https://t.co/Tqo68rbTuE",Message,Link,342,0,Mexico,Men,,0,0,0,0,
Twitter,https://twitter.com/BryanToriz1/statuses/1509682942733336576,BryanToriz1,3/31/2022 8:03 pm,"Guzzodz @MisDerechosLGBT @abrahamendieta @SalmaLuevano @MARIACLEMENTEMX @tweet_stamp Salgado Macedonio violaba, literal, violaba, con vídeos, testimonios, denuncias y ustedes lo querían hacer Gobernador.
No me vengan a hablar de moral y discriminación.",Mention,Text Only,1128,3,Mexico,Men,,0,0,3,0,
Twitter,https://twitter.com/alejandrogodi01/statuses/1509680775955951616,alejandrogodi01,3/31/2022 7:55 pm,"Los ataques por racismo en EEUU, no quedan solo en los asesinatos que de por sí ya son terribles.

Fragmento tomado de #Latinx, de @paoramos https://t.co/KC7i5s7yOY",Message,Photo,98,1,"Cuauhtemoc, Mexico City, Mexico",Men,,1,0,0,0,
Twitter,https://twitter.com/azaelc/statuses/1509677833374818313,azaelc,3/31/2022 7:43 pm,el_abejita @SinLinea_Mx Jajajja según tu en cuantas comunidades pasará...porque creo que conoces la zona por eso hablas no?? La unica comunidad será felipe carrillo puerto ... de ahi en fuera indicame cuales mas.... bacalar no es comunidad indigena en q.roo,Mention,Text Only,237,0,Mexico,,,0,0,0,0,
Twitter,https://twitter.com/DarwinPetate1/statuses/1509673349265465349,DarwinPetate1,3/31/2022 7:25 pm,"Día Internacional de la Visibilidad Trans: 
Habríamos de comenzar a hablar de nuestros cuerpos latinoamericanos. De nuestro color de piel que nos relega pero nos da identidad. Porque mucha hormona, mucho truco y maquillaje pero no hemos hablado de la pobreza en la que vivimos.🏳️‍⚧️ https://t.co/zUygslLBSE",Message,Photo,278,7,Mexico,,,6,0,0,1,Género
Twitter,https://twitter.com/pacocandano/statuses/1509666338347831298,pacocandano,3/31/2022 6:57 pm,Es ser un naco mexicano promedio. https://t.co/AgXmlfWgx0 | QT: ¿Ser un pndejo cuenta como incapacidad?✍️🧐 https://t.co/J8faOgufEp,Message,Link,839,3,"Colonia del Valle, Mexico City, Mexico",,,2,0,1,0,Odio
