Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/griego_tragico/statuses/1531845874816626689,griego_tragico,5/31/2022 11:51 pm,"Definición de innecesario:Que le den un trabajo a una actriz negra | QT: De ninguna manera  soy racista, pero esto me parece innecesario https://t.co/5KVnONmlx2",Message,Text Only,1010,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/aaronrdz11/statuses/1531843492451864579,aaronrdz11,5/31/2022 11:42 pm,Jajajaja que buena respuesta | QT: @mexican_prieto @SancadillaNorte ni que cogieran en la cancha wey jajajaajaja,Message,Text Only,135,0,"Jardines de la Silla (Jardines), Nuevo León, Mexico",0,0,0,0,
Twitter,https://twitter.com/tori_noticias/statuses/1531843221478731776,tori_noticias,5/31/2022 11:40 pm,Espectacular la respuesta de @fernandeznorona  frente a los insultos clasistas de la oposición. https://t.co/K0cbtlldpb,Message,Video,1216,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/varamburucano/statuses/1531842585886605312,varamburucano,5/31/2022 11:38 pm,JuanM_MorenoM @xolmarie @EconomiaSazon @LaMZapata @taloaria @Racismo_MX ¡Gracias por verlo! https://t.co/FjN7FcUjz0,Mention,Photo,7527,3,"Colonia del Valle, Mexico City, Mexico",2,0,0,1,
Instagram,https://www.instagram.com/p/CeP28PAOujJ/,,5/31/2022 11:35 pm,"Adivinen quiénes tendrán nueva transmisión 🦄✨ ¡May que siii! Volvimos kom pu che, y esta vez el tema de nuestra TERCERA TRANSMISIÓN será: “No, yo no soy mapuche” 😱, una frase que hemos escuchado taaaan frecuentemente, pero ¿quién es mapuche y quién no? ¿Será algo que se pierde con el apellido? 🤨 ¿Hay mapuche buenxs y malxs? ¿Quién decide quién es realmente mapuche, una piedra sagrada? Chkdhxjs 👀
Todo eso y más este sábado 4 de junio, 21 hrs, así que vaya preparando su mate, sus comentarios y conéctese con nosotras al PU ÑAÑA PODCAST 😍🌿.

Sería de gran ayuda si comparten el post 😊💕

Edición: mapushine 
Ilustración: al_vhal 
QUÉ SER HUMANO MÁS SECOOOO ✨💕🌿

#mapuche #podcast #racismo",Message,Photo,0,91,,62,0,29,0,
Twitter,https://twitter.com/varamburucano/statuses/1531835653541048320,varamburucano,5/31/2022 11:10 pm,"¡Ya al aire! | QT: 🔴 #EnVivo​ | Ya inicia #EconomíaConSazón por @Capital_21.  Racismo en México. 👩🏼👨🏿👩🏻‍🦰👨🏾‍🦳

Lo degustamos en la mesa de @varamburucano con @LaMZapata, @xolmarie y @taloaria.

https://t.co/GtGuYEJrVk",Message,Text Only,7527,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/varamburucano/statuses/1531835579226370049,varamburucano,5/31/2022 11:10 pm,"¡Ya al aire? | QT: 🔴 #EnVivo​ | Ya inicia #EconomíaConSazón por @Capital_21.  Racismo en México. 👩🏼👨🏿👩🏻‍🦰👨🏾‍🦳

Lo degustamos en la mesa de @varamburucano con @LaMZapata, @xolmarie y @taloaria.

https://t.co/GtGuYEJrVk",Message,Text Only,7527,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/LeobardoCox/statuses/1531831790767325187,LeobardoCox,5/31/2022 10:55 pm,"Sino es PRIeta, es MORENA... | QT: No hay duda que el proyecto @TrenMayaMX también es un proyecto político, no sólo de desarrollismo, con los que se están pagando favores y dando concesiones a los políticos del PRIAN peninsular, muchos de ellos ""transformados"" en morenistas.

El proyecto más importante de la 4T.",Message,Text Only,472,0,"Merida, Yucatán, Mexico",0,0,0,0,
Twitter,https://twitter.com/JAlberto_Segura/statuses/1531829808862093314,JAlberto_Segura,5/31/2022 10:47 pm,"Wey deja de darte de muy educada y de mundo! Todos saben que eres súper clasista, xenofobico, y aparte interesado! Por eso la gente se aleja de ti constantemente! https://t.co/AMHlDusrvR",Message,Photo,6870,0,"Tampico, Tamaulipas, Mexico",0,0,0,0,
Twitter,https://twitter.com/zombiedarkelf/statuses/1531828510574006272,zombiedarkelf,5/31/2022 10:42 pm,"JonathanMoonens @LillyTellez O sea, le agradeces por llevar el clasismo y el racismo a la cámara de diputados? Sin olvidar el desprecio por el derecho a decidir de la mujer 🤦🏾",Mention,Text Only,243,0,Mexico,0,0,0,0,Género
