Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/Padawanmx/statuses/1494174078953037829,Padawanmx,2/16/2022 11:57 pm,"Como sabes que un twittero es un pendejo?

Usa los términos “blanquita racista”. https://t.co/YVrZPiHoe5 | QT: @ZizouZamora @YMediterranea @JustClauFlowers @crisonava @becsherm La blanquita racista de ymediterránea..",Message,Link,1836,1,"Cuernavaca, Morelos, Mexico",Men,,1,0,0,0,
Twitter,https://twitter.com/leo_poblete/statuses/1494170541267300353,leo_poblete,2/16/2022 11:43 pm,"Agradezco el apoyo de @FiscaliaCDMX, y del gobierno de la Ciudad de México, estos logros le dan sentido a cualquier denuncia por discriminación, debemos seguir alzando la voz para evitar que se sigan cometiendo actos de discriminación en contra de los grupos vulnerables.
#ubs https://t.co/If1HudueTK | QT: #Entérate La @FiscaliaCDMX vinculó a proceso a dos altos ejecutivos de UBS por el delito de discriminación en agravio de una persona LGBTTTI. El juez les impuso como medidas cautelares, no molestar a la víctima, presentación periódica mensual y prohibición de salir del país.",Message,Link,344,13,"Naucalpan de Juarez, México, Mexico",Men,,9,0,1,3,
Twitter,https://twitter.com/DiversidadCDMX/statuses/1494169157167988736,DiversidadCDMX,2/16/2022 11:37 pm,"#Entérate La @FiscaliaCDMX vinculó a proceso a dos altos ejecutivos de UBS por el delito de discriminación en agravio de una persona LGBTTTI. El juez les impuso como medidas cautelares, no molestar a la víctima, presentación periódica mensual y prohibición de salir del país.",Message,Text Only,6653,102,"Colonia del Valle, Mexico City, Mexico",,,67,0,1,34,
Twitter,https://twitter.com/mavagomez_/statuses/1494168554559709188,mavagomez_,2/16/2022 11:35 pm,"Que rabia me da ver a gente racista, sexista, homofóbica, etc que me sigue. Mi contenido NO es para ti, no es para que lo disfrutes ni para que te entretenga. No es un espacio para que te sientas cómodo, simplemente no hay lugar para ti.",Message,Text Only,21280,97,"Los Angeles, California, United States",Women,,93,0,0,4,
Twitter,https://twitter.com/mavagomez_/statuses/1494168089075740672,mavagomez_,2/16/2022 11:33 pm,"Fernandcc El racismo no es una opinión, es ignorancia, deja de seguirme bye",Mention,Text Only,21280,3,"Los Angeles, California, United States",Women,,2,0,1,0,
Twitter,https://twitter.com/mavagomez_/statuses/1494165946973315073,mavagomez_,2/16/2022 11:24 pm,"Fernandcc Que te parece si te sientas y te educas un poco? “Yo no soy racista” y luego dices estupideces como esa, que pena ajena",Mention,Text Only,21280,7,"Burbank, California, United States",Women,,6,0,1,0,
Twitter,https://twitter.com/VilchisJuan1/statuses/1494153446144061442,VilchisJuan1,2/16/2022 10:35 pm,"Faitelson_ESPN UN EQUIPO MODESTO @MazatlanFC 
Jajaja jajaja jajaja jajaja 😂
 ya ve padrino @RicardoBSalinas y usted bien diplomático con este cerdoperiodista frustrado y acomplejado. @Faitelson_ESPN  es un gordo sin amor buscando en tuitter quién lo vea y le contesté https://t.co/oFjbDsVALc",Mention,Photo,41,0,"Santa Rosa Jauregui, Querétaro, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/federicoalves/statuses/1494151421582843905,federicoalves,2/16/2022 10:27 pm,"Venezolanos siguen obsesionados con las elecciones Trump - @JoeBiden. Entiendan una sola cosa, por favor. Los EEUU rechazó a Trump por inepto y por racista. Ahora va preso por fraude al impuesto sobre la renta. Ustedes absolutamente fuera del perol. https://t.co/K9yRY95zyk",Message,Photo,72969,13,,Men,,4,0,6,3,
Twitter,https://twitter.com/CARREYJOMA/statuses/1494147769849757698,CARREYJOMA,2/16/2022 10:12 pm,"Gracias a Dios que nunca pasó...
No soportaría ver a ese genocida en mi moneda nacional.

Te amo mi Indio #LEMPIRA.
🇭🇳🇭🇳🇭🇳🎯🇭🇳🇭🇳🇭🇳 https://t.co/h08fJ1eoAV | QT: ¿Misma moneda para El Salvador y Honduras? En 1897, justo cuando existía la confederación formada por 🇸🇻🇭🇳🇳🇮, se presentó un proyecto de ley en San Salvador para que ES y HN utilizasen una misma moneda: el «Colón de oro». Su valor sería de 5 pesos.

(Sigue 👇) https://t.co/yrBHAsuX49",Message,Link,513,0,Honduras,Women,,0,0,0,0,Origen cultural
Twitter,https://twitter.com/cepia2011/statuses/1494144089931108355,cepia2011,2/16/2022 9:58 pm,"grankan23 @yan_al_sur Si, si , el rollo neoliberal de la competencia y del más fuerte. Pero en la realidad social es solo discriminación porque no existe igualdad de oportunidades, no existe igualdad en educación",Mention,Text Only,130,1,"Magdalena Contreras, Mexico City, Mexico",Women,,1,0,0,0,
Twitter,https://twitter.com/IQAlfo81/statuses/1494140286737567750,IQAlfo81,2/16/2022 9:42 pm,"La mejor respuesta que he leído hacia un montón de comentarios clasistas disfrazados de meritocracia https://t.co/nimQEqiaDm | QT: @pedromejiam La gentrificación hace justamente que los espacios abandonados o en decadencia sean renovados, y, por ende, muchas de las personas que ya vivían ahí se ven orilladas a vender su patrimonio ante el encarecimiento de la zona. Literalmente están desplazando personas.",Message,Link,921,2,"Ecatepec, México, Mexico",Men,,2,0,0,0,
Twitter,https://twitter.com/pablinskiki/statuses/1494140001508110338,pablinskiki,2/16/2022 9:41 pm,MizzRat69 @roberto_snts Sigue llorando… racista.,Mention,Text Only,1206,2,"Colonia del Valle, Mexico City, Mexico",,,1,0,1,0,
Twitter,https://twitter.com/pablinskiki/statuses/1494137547882119169,pablinskiki,2/16/2022 9:32 pm,"MizzRat69 @roberto_snts Estabas muy contento siendo racista y diciendo cuánto odias a los gringos, y hago lo mismo contigo, ¿porque ahí ya no es gracioso?",Mention,Text Only,1206,2,"Colonia del Valle, Mexico City, Mexico",,,1,0,1,0,
