Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Theme
Twitter,https://twitter.com/CesarWackO/statuses/1501422398406639627,CesarWackO,3/8/2022 11:59 pm,"Clasismo en su máxima expresión. Tan mal están los participantes en lo ocurrido el sábado pasado en Qro, como este tipo de personas... 👇 https://t.co/RSjTH3xsuI | QT: Después de lo de ayer en Qro, nadie pero NADIE me puede volver a decir q el fútbol no es de albañiles #SorryNotSorry",Message,Link,1612,0,"Santa Rosa Jauregui, Querétaro, Mexico",
Twitter,https://twitter.com/F48I0L4/statuses/1501416918158397447,F48I0L4,3/8/2022 11:37 pm,"No puedo creerlo, me tomé 2 medias indio. 🤢",Message,Text Only,19,1,"Monterrey, Nuevo León, Mexico",Origen cultural
Twitter,https://twitter.com/BruceJulis/statuses/1501414289424490496,BruceJulis,3/8/2022 11:27 pm,"goberpanelo @armentaconmigo @MBarbosaMX @RiveraVivanco_ @ChismosoPoblano @Marvinel3 @Sandragarciri @ALBERTO65F @DonGustavo64 Oye mi compadre el Chuma como ya no lonquiere la ""Blanquisima Alcala"" hasta se ve más Prieto,no??",Mention,Text Only,1232,7,"Casa Blanca, Puebla, Mexico",
Twitter,https://twitter.com/Fernand21027836/statuses/1501413649000415233,Fernand21027836,3/8/2022 11:24 pm,"DeniseDresserG El toque de clasismo lo pones u lo vives tú
O acaso en la Universidad en la que das clases entra "" El Pueblo ""? 
Verdad que NO? , ahí únicamente entran las privilegiadas  de las Élites que pueden pagar los semestres
Y  si te das tus golpes de pecho o solamente finges ser pueblo?",Mention,Text Only,77,62,"Tesistan, Jalisco, Mexico",
Twitter,https://twitter.com/claudiaarriagas/statuses/1501413233302794242,claudiaarriagas,3/8/2022 11:23 pm,"lol el didi no nos quiso llevar a mi, mi hermana y 2 amigas cuando nos vio vestidas de morado y verde jajajajaj rdículo resentido",Message,Text Only,9538,15,"Guadalajara, Jalisco, Mexico",Backlash
Twitter,https://twitter.com/AsodemujeresNh/statuses/1501409995698720768,AsodemujeresNh,3/8/2022 11:10 pm,"#8M  #SantaLucíaLachúa La conmemoración del 8 de marzo, no es para celebrar, es un día más para exigir el cumplimiento de los derechos humanos de las mujeres ante la situación de discriminación y violencia que se vive en distintos ámbitos, en búsqueda de igualdad y equidad. ✊🏽🔥 https://t.co/3btTmCm2ah",Message,Photo,39,3,Guatemala,Género
Twitter,https://twitter.com/_FerLeonMex/statuses/1501407055109713922,_FerLeonMex,3/8/2022 10:58 pm,El miserable resentido y sus floreros del bienestar... https://t.co/pXR8truvTl | QT: Parece que fue ayer… https://t.co/jTRXMe1xN0,Message,Link,70,0,"Monterrey, Nuevo León, Mexico",Backlash
Twitter,https://twitter.com/_FerLeonMex/statuses/1501406657112199170,_FerLeonMex,3/8/2022 10:56 pm,"El miserable resentido y sus floreros del bienestar...
#AmloLaVerguenzaDeMexico 
#AmloMoralmenteDerrotado https://t.co/Ug4g1bw4Ef | QT: ¿De verdad no le da pena? Usted quiere ser la quinceañera de la fiesta, el muerto del velorio y, ahora, en el día de la mujer, convoca a sus súbditas para que le echen porras. Diga las cosas sin miedo: sólo sus aduladoras tienen un lugar en su corazón. https://t.co/K0EhIz4Rkg",Message,Link,70,1,"Monterrey, Nuevo León, Mexico","Backlash, Género"
Twitter,https://twitter.com/CoPeSoR/statuses/1501406177200070659,CoPeSoR,3/8/2022 10:55 pm,"Gracias por acuerparnos @JTenMexico @YaajMexico @Racismo_MX  @danielamalpican

#8Marzo2022 #MujeresSordas https://t.co/IytM9g0GJq",Message,Photo,3144,69,"Colonia del Valle, Mexico City, Mexico",
Twitter,https://twitter.com/robertohcar/statuses/1501405392764551169,robertohcar,3/8/2022 10:51 pm,"El feminismo en Nuevo León que votó por el misogino de Samuel García y la frívola de Mariana rdz no han aprendido nada. Su doble moral, hipocresía y hasta clasismo tienen a NL en la mierda. Ojalá algún día vean las cosas con objetividad y sin fobias y aprendan de sus pendejadas. https://t.co/ahiHkaRktP",Message,Photo,251,4,"Garza Garcia, Nuevo León, Mexico",
Twitter,https://twitter.com/ElisaVillalvazo/statuses/1501402639178817539,ElisaVillalvazo,3/8/2022 10:40 pm,"venceslav 🤢🤢🤢🤮🤮🤮🤮 fakeministas FEMINAZIS del @ITAM_mx de @AccionNacional docentes y alumnas, lo suyo es la hipocresía, el racismo, el clasismo. Conservadoras doble moral

 https://t.co/sUYBhbCbdV",Mention,Photo,1181,5,"Guadalajara, Jalisco, Mexico",Género
