Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/RaulMtz1978/statuses/1531121775580520448,RaulMtz1978,5/29/2022 11:54 pm,"Ojo aquí @MoreliaGob, la vestimenta es acto de discriminación y las armas?! @AlfonsoMtz_Mx @YaNkEl_B | QT: #Vertical es el único antro en Morelia y en el mundo, donde te prohíben la entrada por traer “playera deportiva” pero no te dicen nada si traes armas/pistolas 🤡🤡🤡",Message,Text Only,2083,0,"Morelia, Michoacán, Mexico",0,0,0,0,
Twitter,https://twitter.com/Vaaleriarosas/statuses/1531114134087077890,Vaaleriarosas,5/29/2022 11:23 pm,"Es que no entiendo cómo se levantan y sacan todo su racismo, pero oh, ""es humor"".",Message,Text Only,3026,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/zimag/statuses/1531108775930863616,zimag,5/29/2022 11:02 pm,"Aquí un comentario clasista que hace referencia a la forma de vestir de un individuo llamado @FelipeCalderon y que ignoran el trabajo que hacen los sastres camiseros de la CDMX, y desprecian su trabajo y talento. Porque esos bordados son hechos a mano, nunca a máquina. | QT: A las camisas de Felipe Calderón les bordan un FC .

Es como cuando en la primaria tus papás le pintaban con un marcador tus iniciales a tu lonchera. https://t.co/YvHKO44bve",Message,Text Only,1362,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/jmartinez67/statuses/1531100821403930625,jmartinez67,5/29/2022 10:30 pm,diazgiles Un chairo resentido,Mention,Text Only,873,0,Mexico,0,0,0,0,Backlash
Twitter,https://twitter.com/HmlopezLic/statuses/1531099636299026432,HmlopezLic,5/29/2022 10:26 pm,monerorape @FelipeCalderon Eres un resentido social y además mamón....,Mention,Text Only,274,0,Mexico,0,0,0,0,Backlash
Twitter,https://twitter.com/jmartinez67/statuses/1531097287258144769,jmartinez67,5/29/2022 10:16 pm,"WeweMilus @rthur_013 Puro pinche resentido social, como @FlorAmargo, apoyan a un pederasta y con ligas al CO, como @FelixSalMac 
Por lo pronto, que CHSPM cada que respiren",Mention,Text Only,873,0,Mexico,0,0,0,0,Backlash
Twitter,https://twitter.com/Lukushisan/statuses/1531091478574940160,Lukushisan,5/29/2022 9:53 pm,"jgnaredo Y qué hay de malo? Tu no puedes? No te alcanza o como eres “comunista” lo miras como un exceso, para mi eres un resentido, tener dinero no es malo, neta no te amargues",Mention,Text Only,951,0,"Magdalena Contreras, Mexico City, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/AlejandroAsat/statuses/1531090979255635968,AlejandroAsat,5/29/2022 9:51 pm,"AntonioPerezMEX es el prieto en el arroz | QT: El papá debe estar infartado, buscando como disculparse con el 💩 le dió dónde más le duele 🥴. https://t.co/twMoqYrdEC",Mention,Text Only,294,0,"Tuxtla Gutierrez, Chiapas, Mexico",0,0,0,0,
Twitter,https://twitter.com/ilianaMTmty/statuses/1531090362793697280,ilianaMTmty,5/29/2022 9:49 pm,jgnaredo Pobre mediocre resentido.,Mention,Text Only,396,0,"San Nicolas de los Garza, Nuevo León, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/AlejandroAsat/statuses/1531085126922563584,AlejandroAsat,5/29/2022 9:28 pm,"AntonioPerezMEX es el prieto en el arroz | QT: Mientras el Checo nada su triunfo en Mónaco, su papá nada de muertito en la Cámara de Diputados. 

Verdaderamente un improductivo y muy tonto legislador, solo hace el ridículo. 

#PadeciendoMorenosIgnorantes",Mention,Text Only,294,0,"Tuxtla Gutierrez, Chiapas, Mexico",0,0,0,0,
Twitter,https://twitter.com/ElisaIvarez/statuses/1531076548278857729,ElisaIvarez,5/29/2022 8:54 pm,"Los prejuicios raciales del pensamiento liberal mexicano, hacen que las personas que usan la palabra ""naco"" como método de agresión verbal, (porq creen que es un sinónimo de persona corriente) terminen siendo ignorantes. Acá un buen texto para leer en lugar de andar en el chisme https://t.co/TCmwtgY1WP",Message,Photo,377,0,"Coyoacan, Mexico City, Mexico",0,0,0,0,Odio
Twitter,https://twitter.com/nando1906/statuses/1531076530641698816,nando1906,5/29/2022 8:54 pm,"AyD_ParaTi Lo dicen los que tienen cisternas y tinacos en sus residencias, este disque plan para ahorrar agua solo afecta a los que menos aceso al agua tienen y a los que vivimos en las zonas de menor plusvalía la presión ni siquiera llega, solo llega su clasismo.",Mention,Text Only,193,0,"Jardines de la Silla (Jardines), Nuevo León, Mexico",0,0,0,0,
Twitter,https://twitter.com/varamburucano/statuses/1531074637085417473,varamburucano,5/29/2022 8:46 pm,"Según este racista, cientos de millones de latinoamericanos somos imbéciles y autodestructivos. | QT: Hay que tenerles paciencia, los latinoamericanos no conocen el populismo, jamás han sido sus víctimas. Estoy seguro de que aprenderán la lección y no pasarán décadas cayendo una y otra y otra y otra vez en el mismo error. Una región no puede ser tan imbécil y autodestructiva…😉",Message,Text Only,7515,43,"Colonia del Valle, Mexico City, Mexico",33,0,8,2,
Twitter,https://twitter.com/MikelAlcibar/statuses/1531073972908998656,MikelAlcibar,5/29/2022 8:44 pm,Fer_SalazarM Yo cuando alguien responde de inmediato y cero análisis de por medio: “es que es un tema de género” “es que es un tema de racismo” “es que es un tema de clasismo” https://t.co/nWVhHrcccE,Mention,Photo,40,0,"Casa Blanca, Puebla, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/CeKZLiar4-T/,,5/29/2022 8:39 pm,"Con todas las evidencias de lo #misógino #machista #corrupto #populista #violento #racista, #xenofobo #grosero #homofobico de #ultraderecha y sin propuestas más que el interés personal de sus negocios y el candidato Rodolfo pasa a segunda vuelta a competir por la presidencia...(!) #verguenza

PERO estamos vivas y no estamos derrotadas todavía ...Vamos que se puede #nopasaran #colombia #vamosaganar #segundavuelta #antifascistas #horadelcambio #vivirsabroso #obreras",Message,Photo,0,63,,62,0,1,0,Género
Twitter,https://twitter.com/ElViruto/statuses/1531056209645666304,ElViruto,5/29/2022 7:33 pm,"LOVREGA @zma_torres Pinché troll resentido, ahora resulta...",Mention,Text Only,143,0,"Villa de Costa Rica, Sinaloa, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/vzcesarvz/statuses/1531052383861719040,vzcesarvz,5/29/2022 7:18 pm,"Mi papá me dijo que era un clasista, discriminador y que ojalá mis hijos cuando los tenga sean unos malcriados. Todo por exigir higiene y limpieza en mi hogar. Señoras y señores, hoy algo se rompió en mi.",Message,Text Only,75,0,"Merida, Yucatán, Mexico",0,0,0,0,
Twitter,https://twitter.com/mojosonico/statuses/1531044800430055424,mojosonico,5/29/2022 6:48 pm,"d0x00x0p @fede_romo Enano acomplejado el que se queja de todo y de todos todo el tiempo, Podrás decir lo que quieras de Calderón pero él jamás necesito una sección diaria en televisión para quejarse de lo que dicen los demás. https://t.co/uJVFBhLEAZ",Mention,Photo,627,0,Mexico,0,0,0,0,
