Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/AlvarRock/statuses/1508647488437342209,AlvarRock,3/28/2022 11:29 pm,"BernieMX Recuerda que el racismo, el clasismo y otros “ismos” funcionan de arriba para abajo, no al revés.",Mention,Text Only,29616,1,"Colonia del Valle, Mexico City, Mexico",,,0,0,1,0,
Twitter,https://twitter.com/peryguay/statuses/1508643723659329539,peryguay,3/28/2022 11:14 pm,YosoyPedrero Resentido ....ERES FIEL Morenasco....,Mention,Text Only,243,0,Mexico,Women,,0,0,0,0,Backlash
Twitter,https://twitter.com/RafaSebas/statuses/1508643624317333505,RafaSebas,3/28/2022 11:14 pm,Hoy también fallaron temprano los de Jiménez y Morones Prieto #superciudad ? @miguelbtrevino #spgg municipio de 4ta 🙃 https://t.co/oCeCc5gegc,Message,Link,412,0,"Garza Garcia, Nuevo León, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/oescalona/statuses/1508637158596304896,oescalona,3/28/2022 10:48 pm,"Que historia tan triste...

La exclusión de las personas adultas mayores analfabetas digitales debe de ser considerada DISCRIMINACIÓN. https://t.co/eplyGIyvvA | QT: Hoy fui a  @BBVA_Mex a reponer mi plástico.  Los nuevos candados de seguridad me recordaron la forma en que la digitalización vulnera a personas adultas mayores. Les voy a contar la historia de cómo un ejecutivo robó con tranquilidad la tranquilidad de mi papá. Abro hilo... 🧵",Message,Link,812,0,"Xochimilco, Mexico City, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/arturohdezgtez/statuses/1508634036972969988,arturohdezgtez,3/28/2022 10:35 pm,YosoyPedrero Resentido,Mention,Text Only,32,0,"Heroica Zitacuaro, Michoacán, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/martindh6711/statuses/1508633304634957824,martindh6711,3/28/2022 10:33 pm,"DamianAlcazar es Pejezombies!. Porro Resentido Social 💪💩🤡 @monerohernandez @JTrianaT @brozoxmiswebs @kenialopezr @mayorga_56 @ClaudioXGG @GlodeJo07 @fisgonmonero @mario_dico50 https://t.co/xqToDkImYu | QT: Como todo en la vida, hay niveles. https://t.co/yql1YOSBBi",Mention,Link,342,0,"Iztapalapa, Mexico City, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/FelipeCoronel92/statuses/1508632274270531588,FelipeCoronel92,3/28/2022 10:28 pm,"Tuitazo del PT. 👏👏👏👏

Por fin un pronunciamiento profundo sobre la naturaleza del CAPITALISMO en su despligue neoliberal, explotador, clasista, racista, etc, etc.

Es la militancia a la que pertenezco, la izquierda profunda.

#IzquierdaUnida https://t.co/37SFDInwIy | QT: La inmensa mayoría de los problemas de la sociedad mexicana derivan de la naturaleza de explotación, sojuzgamiento y dominación del sistema, pero en el PT y la #4T ya no lo estamos permitiendo.
#SeVienenTiemposMejores #ElPTEstáDeTuLado https://t.co/YJCNLJMJwO",Message,Link,1810,1,Mexico,Men,,1,0,0,0,
Instagram,https://www.instagram.com/tv/Cbq59kOPOqB/,,3/28/2022 10:19 pm,"Machismo, racismo, violencia estética y digna rabia. 

¿Que piensan ustedes?, Lxs leo.

#feminismo #oscars #oscars2022 #violenciadegenero #racismo #dignarabia",Message,Video,0,135,,,,133,0,2,0,
Twitter,https://twitter.com/ToroNecaxista/statuses/1508628706838945799,ToroNecaxista,3/28/2022 10:14 pm,"bereaguilarv @DonVocero A López también se le arrodilló por un largo tiempo una sra y ni un pelo se le movió son iguales están cortados con la misma tijera.
Son unos resentidos mal nacidos, merecen el peor de los castigos, solo por educación no lo debieron de haber permitido o reaccionar inmediatamente",Mention,Text Only,2594,7,"Coyoacan, Mexico City, Mexico",Men,,5,0,0,2,Backlash
Twitter,https://twitter.com/mocikat/statuses/1508627218607521801,mocikat,3/28/2022 10:08 pm,"MentirasPiados8 Pobre Will, la neta que decepción, el hacer el ridículo, (ficticio claro), por una tipa que se tiró al amigo de su hijo de 18 años....   cosas se negros...😳🤪",Mention,Text Only,1440,1,"Cuernavaca, Morelos, Mexico",,,1,0,0,0,
Twitter,https://twitter.com/paxtonhernan/statuses/1508617084250513415,paxtonhernan,3/28/2022 9:28 pm,elrodro88 @christianbleu Por ser un racista de mierda.,Mention,Text Only,811,1,"Merida, Yucatán, Mexico",,,0,0,1,0,
Twitter,https://twitter.com/Gaviota_2367/statuses/1508613672402305038,Gaviota_2367,3/28/2022 9:15 pm,"rosana_arechiga @FreddyOliviery @EugenioDerbez Corrijo, esa frase aplicaba antes de 2018, hoy más bien es…el enemigo de un mexicano es un chairo mediocre y resentido #JoseRamonLopezBeltran38 #CuantoGanaElBodoque #LopezElCorruptoEresTu #LopezBasuraPresidencial #LopezCorruptoInepto",Mention,Text Only,949,3,"Casa Blanca, Puebla, Mexico",Women,,2,0,0,1,Backlash
Twitter,https://twitter.com/JuampiSwan/statuses/1508610198574977037,JuampiSwan,3/28/2022 9:01 pm,"publicovipp @therealjulinas Y no es mi discurso...
Los discursos de discriminación son  su especialidad.",Mention,Text Only,365,1,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,1,0,
Instagram,https://www.instagram.com/tv/CbqwkZvljT2/,,3/28/2022 8:46 pm,"#Entretenimiento.- Escritoras y #activistas #negras han denunciado el #racismo, la #misoginia y la #violencia estética en contra de Jada Pinkett Smith, luego del comentario hecho por Chris Rock en los #Oscar.

Durante la celebración de los premios Oscar 2022, el comediante Chris Rock hizo un comentario sobre la #actriz Jada Pinkett Smith, ante el cual ella reaccionó con incomodidad.

Más detalles en www.noticiassin.com y en la Emisión Estelar con aliciaortegaha las 10:00 PM, por ColorVisionC9

#NoticiasSIN #JadaPinkettSmith #ChrisRock #WillSmith #PremiosOscar # Activistas",Message,Video,0,4178,,,,3978,0,200,0,
Twitter,https://twitter.com/FerZurita1/statuses/1508595963463667712,FerZurita1,3/28/2022 8:04 pm,"EugenioDerbez hola estimado, ya te felicito eEl envidias? El Resentido, vengativo y acomplejado presidentito?",Mention,Text Only,1874,0,"Cuauhtemoc, Mexico City, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/LAFD_PABLOO/statuses/1508585915651801088,LAFD_PABLOO,3/28/2022 7:24 pm,"ChumelTorres Si sabes que habla de ti por qué eres una sátira de lo que representa la derecha, representas lo vacío, la hipocresía, lo ignorante, ridículo, superfluo, racista, discriminatorio, clasista, lo pendejo. La paradoja es que tu eres un chiste wey, cuando se supone que haces chistes.",Mention,Text Only,99,0,Mexico,Men,,0,0,0,0,
