Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/elcacabonita/statuses/1498518216456523779,elcacabonita,2/28/2022 11:39 pm,"Sus comentarios bien racistas de los del bar ""I'm not an Asian, man"". Ya que le paren o me voy a poner a decir pendejadas y todos traen su plomo jaja.",Message,Text Only,1705,1,"Nacogdoches, Texas, United States",,,1,0,0,0,
Twitter,https://twitter.com/AxelGar56163124/statuses/1498514339338280962,AxelGar56163124,2/28/2022 11:23 pm,jose5anchez Ni que ir a dormir maldito racistas machista no me voy a dormir hasta que me expliques tu argumento https://t.co/VgzKwXv2Pe,Mention,Photo,394,2,Guatemala,,,1,0,1,0,
Twitter,https://twitter.com/jvalenci777/statuses/1498512461162373125,jvalenci777,2/28/2022 11:16 pm,"HoracioFranco @casa_lamm @_VicenteSerrano El meco racismo mexicano, gente chilanga jodida Fifimeca.",Mention,Text Only,3345,0,"Naucalpan de Juarez, México, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/Clau07Rocha/statuses/1498504784277434368,Clau07Rocha,2/28/2022 10:45 pm,bbcmundo Que triste 😢 cuándo dejarán de ver el color de piel antes que a los seres humanos?🥺,Mention,Text Only,91,12,"Magdalena Contreras, Mexico City, Mexico",,,12,0,0,0,
Twitter,https://twitter.com/Omttl83/statuses/1498501273812938753,Omttl83,2/28/2022 10:31 pm,"Tenía razón super Vlad, racistas, clasistas y fascistas https://t.co/ZGL656TDd7",Message,Photo,20,0,"Ciudad Nezahualcoyotl, México, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/cesarmadriz/statuses/1498497515313844230,cesarmadriz,2/28/2022 10:17 pm,Para mi una de las cosas más crudas de este conflicto/guerra es ver el racismo sistémico. La diferencia entre la cantidad de inf. que hay sobre lo que está pasando vs la inf. que hay en otras latitudes menos blancas es una de las expresiones más grandes.,Message,Text Only,809,40,Costa Rica,,,39,0,0,1,
Twitter,https://twitter.com/f1gue_caro/statuses/1498496583138168837,f1gue_caro,2/28/2022 10:13 pm,"El delegar a Rusia y a los rusos de actividades deportivas y culturales, ¿creen que eso es discriminación? Solo por el conflictos bélico que hay?

Sí, No y por qué.
Me gustaría leerlos",Mention,Text Only,576,2,"Naucalpan de Juarez, México, Mexico",Women,,0,0,2,0,
Twitter,https://twitter.com/MauMamuis25/statuses/1498494974735831040,MauMamuis25,2/28/2022 10:06 pm,"Scoronag La pokemona, la derma o de cuál de tantas musculokas raci-clasistas hablas?",Mention,Text Only,6382,0,Honduras,Men,,0,0,0,0,
Twitter,https://twitter.com/vicentegarciabe/statuses/1498491420658655235,vicentegarciabe,2/28/2022 9:52 pm,"HoracioFranco @guilbert_ga @mardoniocarbalo @AntonioAttolini @CASALAMM Es triste, admitir que es el día a día en México 🇲🇽, nada lo justifica, pero si lástima que incluso entre pares es donde más fuerte es el racismo, clasismo. La intolerancia en el país es brutal, y nace desde el hogar y no hay intenciones de cambiar.",Mention,Text Only,3190,1,"Acapulco de Juarez, Guerrero, Mexico",Men,,1,0,0,0,
Twitter,https://twitter.com/Lunaazulada_/statuses/1498490072148197376,Lunaazulada_,2/28/2022 9:47 pm,"En Fantasía de disney, sale un aviso de que tiene contenido racista 🙄",Message,Text Only,1008,5,Mexico,,,4,0,1,0,
Twitter,https://twitter.com/AlvarRock/statuses/1498489808485855233,AlvarRock,2/28/2022 9:46 pm,"Dadas las claras muestras de racismo que exhiben los Ucranianos y los países “altruistas” que reciben a ucranianos (excepto los que sean negros), sólo puedo decir: “¡DALE RUSIA, CON LA SILLA!” https://t.co/vEX6nDnAHx",Message,Photo,29439,10,"Colonia del Valle, Mexico City, Mexico",,,8,0,2,0,
Twitter,https://twitter.com/tunadecoyote21/statuses/1498488420200554500,tunadecoyote21,2/28/2022 9:40 pm,"O sea que cuando los muertos son morenos, prietos, chinos africanos para ellos es normal verlos muertos y no conmoverse ... Está bien un su visión del planeta. https://t.co/4zZRKwb9wa | QT: La nada colonizadora e imperialista BBC reportando de Ucrania: “Es muy emocional para mí porque veo a gente europea con ojos azules y cabello rubio siendo asesinada”. A lxs prietxs, a la gente racializada, a América Latina, África, Medio Oriente, etc, que nos cargue la ching*da. https://t.co/ykiBk5M5sl",Message,Link,143,0,"Iztapalapa, Mexico City, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/isma_brito/statuses/1498486589462224896,isma_brito,2/28/2022 9:33 pm,"g_quadri De un transfobico, racista, clasista, xenófobo y de pilón aficionado a la tortura animal.",Mention,Text Only,88,0,Mexico,Men,,0,0,0,0,
Instagram,https://www.instagram.com/p/Cai18a4uHfU/,,2/28/2022 9:27 pm,"🛑 ¿Racismo en medio de una guerra?

Videos en redes sociales muestran a expatriados africanos, entre ellos muchos que afirman ser estudiantes, obligados a permanecer en Ucrania contra su voluntad mientras intentan huir de la guerra.

También ha habido reportes de funcionarios de seguridad ucranianos que impiden a los africanos tomar los autobuses y trenes que van a la frontera.

⚡Vía ajplusespanol

#Africa #Guerra #Racismo #Rusia #Ucrania #ajplusesp_carrusel",Message,Video,0,1320,,,,1270,0,50,0,
Twitter,https://twitter.com/maryeztevez/statuses/1498484276211466247,maryeztevez,2/28/2022 9:24 pm,MetziLiddell @lIlIllIIl00lI0l @UKRinMEX Ya comen coles agrias reyenas de odio y racismo. Los neonazis ucranianos hdspm.,Mention,Text Only,1001,1,"Colonia del Valle, Mexico City, Mexico",Women,,1,0,0,0,
Twitter,https://twitter.com/maryeztevez/statuses/1498483986326179842,maryeztevez,2/28/2022 9:23 pm,"consideratum @unogermango @raulraulgonzal1 @leopoldlezama @mirfriden Total apoyo al neofascismo mundial exterminador,depredador,racista y muy peligroso.Europa cuna de Hitler, Mussolini, Franco y la Tacher neoliberal.",Mention,Text Only,1001,0,"Colonia del Valle, Mexico City, Mexico",Women,,0,0,0,0,
Twitter,https://twitter.com/JoaqunValladar1/statuses/1498483337601687557,JoaqunValladar1,2/28/2022 9:20 pm,"Balagard_Mayorr @DarkDragn4 @SandraCuevas_ la narco
alcaldesa racista corrupta
analfabeta mal conocida
en AZCAPOTZALCO es una
soberana endeja",Mention,Text Only,171,2,"Patzcuaro, Michoacán, Mexico",,,1,0,0,1,
Twitter,https://twitter.com/criscapere/statuses/1498478466936803338,criscapere,2/28/2022 9:01 pm,partidazocope JuanMa de los insultos racistas a @vinijr preferiste cambiar de tema. @RichardDees,Mention,Text Only,40,8,"Lazy Lake, Florida, United States",,,6,0,0,2,
Twitter,https://twitter.com/Jaiden_G1/statuses/1498471349957775361,Jaiden_G1,2/28/2022 8:33 pm,"Pero que disculpas tan lamentables.

La embajada ucraniana paso de ser racista a clasista al tratar de pedir disculpas.

@UKRinMEX 
#EmbajadaTamalera https://t.co/GjZg7R5FvS",Message,Photo,7,5,Mexico,,,3,0,1,1,
Twitter,https://twitter.com/cheli89/statuses/1498451738000445441,cheli89,2/28/2022 7:15 pm,"DrMegalomano #ConLosNiñosRubiosDeOjosAzulesNO 😤

Para eso están los color cazuela 😌.

¡Maldito Putin, te odio!😤🤬.",Mention,Text Only,2765,2,"Guadalajara, Jalisco, Mexico",Women,,2,0,0,0,Odio
Twitter,https://twitter.com/jjorgemorales/statuses/1498448129053581315,jjorgemorales,2/28/2022 7:00 pm,"UKRinMEX Perros neonazis racistas clasistas
Pero les enviaré  dos guajolotas de verde y rajas",Mention,Text Only,47,1,"Tlalpan, Mexico City, Mexico",,,1,0,0,0,
Twitter,https://twitter.com/jjorgemorales/statuses/1498447348795682825,jjorgemorales,2/28/2022 6:57 pm,UKRinMEX Nunca pensé que fueran racistas clasistas y neonazis,Mention,Text Only,47,0,"Tlalpan, Mexico City, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/pinello13/statuses/1498443360712986629,pinello13,2/28/2022 6:41 pm,"La guerra saca lo peor de las personas, claro como el racismo enorme en los países del Este de Europa https://t.co/WBqjWmNuVZ | QT: Nigeria condenó el racismo contra las personas negras que huyen de Ucrania, incluida una mujer y un bebé obligados a ceder asientos en un tren de evacuación.

Sudáfrica informó que los africanos están siendo ""maltratados"" en la frontera con Polonia. https://t.co/R5n4Lpatof",Message,Link,657,0,"Ecatepec, México, Mexico",Men,,0,0,0,0,Género
Twitter,https://twitter.com/_FerLeonMex/statuses/1498441278777872386,_FerLeonMex,2/28/2022 6:33 pm,"El fósil elegebetero hablando del miserable resentido, o lo ques lo mesmo, el comal le dijo a la olla...👇🏻🤣 https://t.co/X5cYwUTFl0",Message,Photo,70,3,"Monterrey, Nuevo León, Mexico",,,2,0,1,0,Backlash
Twitter,https://twitter.com/ComeVaginass/statuses/1498438100955107329,ComeVaginass,2/28/2022 6:20 pm,ElDotolNastra Porque no le gustan los prietos,Mention,Text Only,1080,0,"Pelham Manor, New York, United States",,,0,0,0,0,
Twitter,https://twitter.com/al312000/statuses/1498435014010277899,al312000,2/28/2022 6:08 pm,"Ucrania no solo tiene un problema con los rusos... ahora también lo tiene con los mexicanos #ConLosTamalesNo   por rasistas clasistas #teamrusia ""mexicanos al grito de guerra"" si tuvimos una guerra por pasteles por qué chingados no, una por TAMALES",Message,Text Only,33,33,"Magdalena Contreras, Mexico City, Mexico",,,24,0,1,8,
Twitter,https://twitter.com/juan_wiechers50/statuses/1498424204034641921,juan_wiechers50,2/28/2022 5:25 pm,fernandeznorona @CitlaHM Azoton que se dio ojalá así sea el azoton que se de el partido de morenistas nacos acomplejados y resentidos RATAS que creen que su mesías demente los va a sacar de pobres y bestias. Eso no va a pasar NUNCA.,Mention,Text Only,0,0,"Jesus del Monte, México, Mexico",Men,,0,0,0,0,"Backlash, Odio"
Twitter,https://twitter.com/edu_casdi/statuses/1498422271123369987,edu_casdi,2/28/2022 5:18 pm,"El que está delante es el que representa a nuestra afición que se lo recrimina. El que hace el gesto no es del Granada CF es un racista. Fuera del fútbol! https://t.co/IzgHs0JO02 | QT: Oye! @GranadaCF !!!! Esta persona no puede volver a entrar en vuestro estadio! Bueno, al vuestro y a ninguno! @LaLiga !!! 

Echemos a los indeseables de nuestro fútbol! https://t.co/BqMe27N4LQ",Message,Link,47,1,"Lebanon Junction, Kentucky, United States",Women,,1,0,0,0,
Twitter,https://twitter.com/adalgre/statuses/1498420236164513797,adalgre,2/28/2022 5:09 pm,"PedroTobarM Su ignorancia los ciega, el racismo es complejo de inferioridad disfrazado de supremacía.",Mention,Text Only,675,0,"Guadalajara, Jalisco, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/SamayoaDavid/statuses/1498419942785437697,SamayoaDavid,2/28/2022 5:08 pm,UKRinMEX @ZelenskyyUa #Racistas y siguen tirando gasolina en un fuego prendido que tienen. Pobre de la gente de #Ukraine,Mention,Text Only,530,1,Mexico,Men,,1,0,0,0,
Twitter,https://twitter.com/adalgre/statuses/1498407695728230400,adalgre,2/28/2022 4:20 pm,"Fuera máscaras!! De eso va el europeismo, racistas qleros!! 🤬 https://t.co/wBmtrCQNx2 | QT: 1-Asistimos a epidemia de hipocresía y supremacismo. En medios ""de 1er mundo"" urgen a ayudar a Ucrania no por humanitarismo, sino pq ""son blancos y de ojos azules, como nosotros"". Afganos, sirios, iraquíes y muchos otros, no importan, ""algo habrán hecho"". Ejemplos que asustan:",Message,Link,675,1,"Guadalajara, Jalisco, Mexico",Men,,0,0,1,0,
Twitter,https://twitter.com/Eliza_Rain/statuses/1498406006916669442,Eliza_Rain,2/28/2022 4:13 pm,"""Nos censuran por ser mujeres y hablar de la realidad material 😭😭""

Claro, Karen, no es como que te la pases hostigando cuentas de personas trans y sus simpatizantes con insultos homofóbicos, racistas y misóginos.😒",Message,Text Only,1640,12,"Magdalena Contreras, Mexico City, Mexico",,,10,0,0,2,"Sexodiversidad, Género"
Twitter,https://twitter.com/bjznegra/statuses/1498402539703836687,bjznegra,2/28/2022 3:59 pm,"pabloaure Usted es lo que llamamos en Venezuela. UN MALA GENTE... Probablemente muy inteligente pero malo, hipócrita y resentido!...los mala gente inteligentes creen que los demás son idiotas que no les ven lo mala personas que son!...usted, se ha dejado ver el hueso, ya no engaña a nadie!",Mention,Text Only,686,3,"Hilshire, Texas, United States",,,1,0,1,1,Backlash
Twitter,https://twitter.com/SrJuanPapas/statuses/1498395774442299394,SrJuanPapas,2/28/2022 3:32 pm,"Sí me pueden todos esos comentarios racistas de los medios que destacan que el sufrimiento en Ucrania es especial «porque son rubios y de ojos azules».

¿Cuántas veces en este mundo racista no les hicieron sentir que no merecían ser queridos por no ser güeros?",Message,Text Only,1425,14,"Guadalajara, Jalisco, Mexico",,,9,0,2,3,Odio
Twitter,https://twitter.com/fasosamaldonado/statuses/1498393945478291457,fasosamaldonado,2/28/2022 3:25 pm,"Gabriel Cuadri
Felicidades a
Casalamm
Por correr a los
Indígenas https://t.co/qrBMU6Pn32 | QT: Horas después hablé con ella, su nombre es #BrígidaRicardoMatilde y me dijo lo triste y vulnerada que se siente aún, y como vecina de la @coloniaroma es objeto, -por ser indígena-, de constante discriminación. En una zona tan cosmopolita como ésta esto debería ser inconcebible!",Message,Link,899,0,"Ecatepec, México, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/DiegoLu64999580/statuses/1498392147682340870,DiegoLu64999580,2/28/2022 3:18 pm,SAPARO23 @ultrakike1977 @Faitelson_ESPN los ucranianos cometían racismo hacia los prorusos que quieran adherirse a Rusia por ejemplo la región de dombass y Crimea,Mention,Text Only,2,0,"Las Pintas de Arriba, Jalisco, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/Amartiad/statuses/1498383536352636934,Amartiad,2/28/2022 2:44 pm,"Yo apoyo a @EmbRusiaMexico  y no a un Gobierno por un golpe de estado que apoya los crímenes Neofacista - ucraniano.. Y le recuerdo Nuestros Tamales son Deliciosos. @UKRinMEX Racistas y facistas hipócritas. https://t.co/QK3lmWjoH1 https://t.co/og1qRHUqL7 | QT: Hoy día de pago solo por leer @SputnikMundo y @ActualidadRT 🐻 
#ConLosTamalesNo 
#EmbajadaTamalera https://t.co/sJ9VwT1gpy",Message,Photo,603,0,"Casa Blanca, Puebla, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/almacs77/statuses/1498377949405396992,almacs77,2/28/2022 2:21 pm,"Policia_GobOax @AlcaldiaPtoEsc @GobOax  el presente tw tiene 2 motivos a) denunciar hostigamiento y discriminación por parte de la policía de playa en Zicaleta, los señores solo se detuvieron, se dirigieron y",Mention,Text Only,67,2,"Puerto Escondido, Oaxaca, Mexico",Women,,0,0,1,1,Perfilamiento racial
Twitter,https://twitter.com/DiegoLu64999580/statuses/1498375677669789701,DiegoLu64999580,2/28/2022 2:12 pm,"JhonnyMX2022 @Joserra48807003 @esm030389 @Faitelson_ESPN Rusia no tiene bases militares en ningún lado, y es normal que cada país se financie en su propia defensa, pero poner bases militares en otros países no, y es peligroso ese pedo, por qué si siguen así crearán una forma de racismo que puede ahora sí llegar la tercera guerra mundia",Mention,Text Only,2,3,"Tesistan, Jalisco, Mexico",Men,,0,0,3,0,
Twitter,https://twitter.com/_FerLeonMex/statuses/1498372162008330248,_FerLeonMex,2/28/2022 1:58 pm,"El ""doctorado"" de taquería,(@samuel_garcias), salió más chingón que el miserable resentido, aquel dijo, ""ya domamos la pandemia"", a éste nomás le faltó terminarla por decreto...
@RealPolitikNL
@LoQuePasaEnNL 
@MtyFollow 
@elnorte_mty 
@QuePasaEnSN 
@charlymils 
@jorgeblancod https://t.co/eNpStEabIc | QT: Después de dos años de pandemia, de encierro, de pérdidas, de crisis económica, logramos salir adelante de este infierno que nos dejó la pandemia.",Message,Link,70,2,"San Nicolas de los Garza, Nuevo León, Mexico",,,2,0,0,0,Backlash
Twitter,https://twitter.com/rfrv007/statuses/1498363502641172485,rfrv007,2/28/2022 1:24 pm,GlodeJo07 ¿A quién añoran más Chumel Torres y simpatizantes? ¿Al acomplejado napoleónico de Calderón o a su Lord Peña? Ése sí es un conflicto de interés.,Mention,Text Only,596,23,"Miguel Hidalgo, Mexico City, Mexico",Men,,15,0,8,0,
Twitter,https://twitter.com/pinedamax94/statuses/1498359888224800768,pinedamax94,2/28/2022 1:10 pm,"luis_ralo @el_Chuck_ @RT_Iturriaga @OphCourse Para todo hay perfiles, hasta para los racistas. Ya viejo, acepta que ka cagaste y ya. No hiciste una buena comparación y pedir un perfil con ojos de color es racista aquí y en china. Por algo ea ilegal.",Mention,Text Only,88,0,"Las Delicias, Baja California, Mexico",Men,,0,0,0,0,
