,name,twitter handle,id,followers,bio,influence score,bio_clean,instagram
0,Javo Sanfeliú,Sanfeliu,19846233,43387,Perro Comunicador.  Instagram @sanfeliu,52,Perro Comunicador.  Instagram @sanfeliu,@sanfeliu
1,PRENSANET,prensaportalnet,189308858,23726,"INFORMACIÓN Y OCIO PARA ADULTOS CON CRITERIO DEFORMADO

Siguenos! 🔽

Twitter @PRENSANET

Instagram
@Prensanet2Oficial

Youtube
PRENSANET OFICIAL",52,"INFORMACIÓN Y OCIO PARA ADULTOS CON CRITERIO DEFORMADO

Siguenos   

Twitter @PRENSANET

Instagram
@Prensanet2Oficial

Youtube
PRENSANET OFICIAL",@prensanet2oficial
2,Wilma González,wilmagonzalez,104524715,274188,"Mamá de Noah. Deportista. Actriz. Española en Chile.
INSTAGRAM: @wilmagonzalezfit

http://www.patreon.com/wilmaofficial",49,"Mamá de Noah. Deportista. Actriz. Española en Chile.
INSTAGRAM  @wilmagonzalezfit

    www.patreon.com wilmaofficial",@wilmagonzalezfit
3,Ernesto Contreras D.,contrerasdelzo,104233609,15950,Editor en @cooperativa. Cuenta alternativa sobre UFC: @5toRound.  Instagram @contrerasdelzo,48,Editor en @cooperativa. Cuenta alternativa sobre UFC  @5toRound.  Instagram @contrerasdelzo,@contrerasdelzo
4,SahoryRosaura,RosauraSahory,1084993284328562689,111023,OnlyFans : https://onlyfans.com/sahory19  🤯🥵 Instagram: @Sahoryrosaura,45,OnlyFans       onlyfans.com sahory19    Instagram  @Sahoryrosaura,@sahoryrosaura
5,13 Compañía CBS,13Providencia,210627159,18875,"Twitter Oficial de la 13° Compañía de Bomberos Providencia. Esta cuenta no es monitoreada, FRENTE A UNA EMERGENCIA LLAME AL 132. Síguenos en Instagram @13cbs",45,Twitter Oficial de la 13° Compañía de Bomberos Providencia. Esta cuenta no es monitoreada  FRENTE A UNA EMERGENCIA LLAME AL 132. Síguenos en Instagram @13cbs,@13cbs
6,[Cristian Ibarra],_NaKeR_,138084435,6982,La música y el fútbol despiertan mis sentidos. 📌 Admin @lanzadoscl / Instagram _naker_ 🎙@pa_infinita en Youtube / Bullanguero 💙🤘 OPINIÓN PERSONAL,44,La música y el fútbol despiertan mis sentidos.   Admin @lanzadoscl   Instagram _naker_  @pa_infinita en Youtube   Bullanguero   OPINIÓN PERSONAL,@_naker_
7,Ivica Llanca,iviiween,342877846,97358,Arriésgate y haz el ridículo!| IG: @iviiween |✉️: contactoiviiween@gmail.com,43,Arriésgate y haz el ridículo   IG  @iviiween     contactoiviiween@gmail.com,@iviiween
8,NuevaRadioInfinita,NuevaInfinitaFM,70801596,20147,#PalabrasConPoder | 100.1 FM en Santiago |  Síguenos en Facebook (http://www.facebook.com/infinitafm) e Instagram https://www.instagram.com/radioinfinita/,43, PalabrasConPoder   100.1 FM en Santiago    Síguenos en Facebook      www. book.com infinitafm  e Instagram     www.instagram.com radioinfinita ,@radioinfinita
9,Paula Ovalle,PaulaOvalleTv,136026421,13760,Profesional de empezar de cero y amante de los viajes. Mamá perruna y enamorada. Editora Periodística en TVN. IG  http://instagram.com/ovalle_pau,40,Profesional de empezar de cero y amante de los viajes. Mamá perruna y enamorada. Editora Periodística en TVN. IG      instagram.com ovalle_pau,@ovalle_pau
10,Bar Loreto,BarLoreto,39695238,17225,"Bar Loreto está ubicado en Loreto 435, Recoleta. Música N vivo y DJ sets d Jueves a Sábado. + info https://t.co/dwJUHVaYb4 / instagram- face barloreto / music venue",40,Bar Loreto está ubicado en Loreto 435  Recoleta. Música N vivo y DJ sets d Jueves a Sábado.   info     t.co dwJUHVaYb4   instagram    barloreto   music venue,@barloreto
11,★Magda Grant★,manegrant,119548068,37496,"soy tal cual quiero ser, sin miedo al ridículo, al qué dirán, ni a los enjuiciamientos/ instagram: https://www.instagram.com/magdalenagrant/?hl=es",40,soy tal cual quiero ser  sin miedo al ridículo  al qué dirán  ni a los enjuiciamientos  instagram      www.instagram.com magdalenagrant  hl es,@magdalenagrant
12,Aguiluchos.com,aguiluchos,24809682,41254,"#YoSoyAguiluchisimo El primer fansite dominicano, dedicado a las Águilas Cibaeñas desde el año 2000. Somos un site para fanáticos! En Instagram: @aguiluchos",39, YoSoyAguiluchisimo El primer fansite dominicano  dedicado a las Águilas Cibaeñas desde el año 2000. Somos un site para fanáticos  En Instagram  @aguiluchos,@aguiluchos
13,Luiger,LuigerOviedo,165303813,1756,"Instagram LuigerOviedo.  Es luijer, no luiyer! 🤙🏻
From: Tucupita",38,"Instagram LuigerOviedo.  Es luijer  no luiyer   
From  Tucupita",@luigeroviedo.
14,Felipe Veliz 🅕,filexmaster,16416898,1728,🇨🇱🐍 DJ & Graphic Designer & Illustrator #DesignThinking #Innovation Digital Artist in @terranovup CEO @estaciongg http://on.fb.me/LvGoQw IG: filexmaster ★,38,  DJ   Graphic Designer   Illustrator  DesignThinking  Innovation Digital Artist in @terranovup CEO @estaciongg     on.fb.me LvGoQw IG  filexmaster  ,@filexmaster
15,piaadriasola,piaadriasola,187306777,11501,"chilena, abogado, casada con Jose Antonio Kast, con quien formamos una familia junto a nuestros 9 hijos y 1 yerno.
Instagram: piaadriasola",37,"chilena  abogado  casada con Jose Antonio Kast  con quien formamos una familia junto a nuestros 9 hijos y 1 yerno.
Instagram  piaadriasola",@piaadriasola
16,MÈT FLOW,lil4jmusic,290592351,21573,FOR BOOKING Snapchat ✌️Instagram : lil4jmusic Facebook :→ http://m.facebook.com/Lil4j Instagram : lil4jmusic Follow Me I Really Follow back Thx,36,FOR BOOKING Snapchat  Instagram   lil4jmusic Facebook  →     m. book.com Lil4j Instagram   lil4jmusic Follow Me I Really Follow back Thx,@lil4jmusic
